test_view,protocol,method,class_index,class_name,recall,predicted_fraction,auroc
native32@cz,leave_one_view_out,bias,1,right_fist,0.5746102449888641,0.2401552967276761,0.7923762965789724
native32@cz,leave_one_view_out,bias,2,both_fists,0.6022222222222222,0.389351081530782,0.7024308121869098
native32@cz,leave_one_view_out,bias,3,both_feet,0.41280353200883,0.21186910704381587,0.72542065244052
native32@cz,leave_one_view_out,vector,0,left_fist,0.3968957871396896,0.15917914586799778,0.766406670252824
native32@cz,leave_one_view_out,vector,1,right_fist,0.5902004454342984,0.2506932889628397,0.7925967108920858
native32@cz,leave_one_view_out,vector,2,both_fists,0.6088888888888889,0.3865779256794232,0.6994612794612795
native32@cz,leave_one_view_out,vector,3,both_feet,0.3995584988962472,0.20354963948973934,0.7225639767803124
native32@fz,none,identity,0,left_fist,0.7716186252771619,0.4581253466444814,0.7965123525630091
native32@fz,none,identity,1,right_fist,0.7193763919821826,0.4248474764281753,0.7956265852559273
native32@fz,none,identity,2,both_fists,0.05333333333333334,0.029950083194675542,0.7013090252114642
native32@fz,none,identity,3,both_feet,0.1986754966887417,0.08707709373266778,0.7019524159921511
native32@fz,view_specific,temperature,0,left_fist,0.7716186252771619,0.4581253466444814,0.7890962227266166
native32@fz,view_specific,temperature,1,right_fist,0.7193763919821826,0.4248474764281753,0.7995726594138295
native32@fz,view_specific,temperature,2,both_fists,0.05333333333333334,0.029950083194675542,0.6910601954504394
native32@fz,view_specific,temperature,3,both_feet,0.1986754966887417,0.08707709373266778,0.7186656855531028
native32@fz,view_specific,bias,0,left_fist,0.49223946784922396,0.21242373821408764,0.7784443511460396
native32@fz,view_specific,bias,1,right_fist,0.5879732739420935,0.25679423183582917,0.7998769627565606
native32@fz,view_specific,bias,2,both_fists,0.5644444444444444,0.34941763727121466,0.7059604171799293
native32@fz,view_specific,bias,3,both_feet,0.38631346578366443,0.18136439267886856,0.7224707709917423
native32@fz,view_specific,vector,0,left_fist,0.49445676274944567,0.2146422628951747,0.781097888977814
native32@fz,view_specific,vector,1,right_fist,0.6013363028953229,0.26622296173044924,0.8010481194053419
native32@fz,view_specific,vector,2,both_fists,0.5688888888888889,0.34775374376039936,0.6973983739837398
native32@fz,view_specific,vector,3,both_feet,0.36644591611479027,0.1713810316139767,0.7239048319843021
native32@fz,leave_one_view_out,temperature,0,left_fist,0.7716186252771619,0.4581253466444814,0.7903163909261471
native32@fz,leave_one_view_out,temperature,1,right_fist,0.7193763919821826,0.4248474764281753,0.799419685300997
native32@fz,leave_one_view_out,temperature,2,both_fists,0.05333333333333334,0.029950083194675542,0.6937225917713722
native32@fz,leave_one_view_out,temperature,3,both_feet,0.1986754966887417,0.08707709373266778,0.7173101136456546
native32@fz,leave_one_view_out,bias,0,left_fist,0.6696230598669624,0.3483083749306711,0.78540619792965
native32@fz,leave_one_view_out,bias,1,right_fist,0.7015590200445434,0.35995562950637827,0.7991268961388018
native32@fz,leave_one_view_out,bias,2,both_fists,0.3844444444444444,0.21741541874653356,0.7020924694095425
native32@fz,leave_one_view_out,bias,3,both_feet,0.18984547461368653,0.07432057681641709,0.7139972201782356
native32@fz,leave_one_view_out,vector,0,left_fist,0.656319290465632,0.338879645036051,0.7844353114052927
native32@fz,leave_one_view_out,vector,1,right_fist,0.7104677060133631,0.37104825291181365,0.8004937938566912
native32@fz,leave_one_view_out,vector,2,both_fists,0.37777777777777777,0.21630615640599002,0.6962240289069558
native32@fz,leave_one_view_out,vector,3,both_feet,0.18543046357615894,0.07376594564614532,0.7197498160412067
native32@pz,none,identity,0,left_fist,0.5299334811529933,0.21408763172490294,0.800786221283407
native32@pz,none,identity,1,right_fist,0.5812917594654788,0.25734886300610094,0.7924634753744575
native32@pz,none,identity,2,both_fists,0.13555555555555557,0.06600110926234054,0.6967019791410035
native32@pz,none,identity,3,both_feet,0.6799116997792495,0.46256239600665555,0.7201373558989453
native32@pz,view_specific,temperature,0,left_fist,0.5299334811529933,0.21408763172490294,0.7949674621813458
native32@pz,view_specific,temperature,1,right_fist,0.5812917594654788,0.25734886300610094,0.7969079490612654
native32@pz,view_specific,temperature,2,both_fists,0.13555555555555557,0.06600110926234054,0.6891993101749199
native32@pz,view_specific,temperature,3,both_feet,0.6799116997792495,0.46256239600665555,0.724099419507808
native32@pz,view_specific,bias,0,left_fist,0.4745011086474501,0.18857459789240155,0.7890552224510948
native32@pz,view_specific,bias,1,right_fist,0.5701559020044543,0.23793677204658903,0.8008704720485043
native32@pz,view_specific,bias,2,both_fists,0.47555555555555556,0.2945091514143095,0.6978286934384496
native32@pz,view_specific,bias,3,both_feet,0.4900662251655629,0.2789794786466999,0.7287368162864851
native32@pz,view_specific,vector,0,left_fist,0.4745011086474501,0.18746533555185801,0.7899195082590955
native32@pz,view_specific,vector,1,right_fist,0.5746102449888641,0.24070992789794787,0.799807877673346
native32@pz,view_specific,vector,2,both_fists,0.4666666666666667,0.2889628397115918,0.6931986531986533
native32@pz,view_specific,vector,3,both_feet,0.4900662251655629,0.28286189683860236,0.7268318207832556
native32@pz,leave_one_view_out,temperature,0,left_fist,0.5299334811529933,0.21408763172490294,0.794873981553156
native32@pz,leave_one_view_out,temperature,1,right_fist,0.5812917594654788,0.25734886300610094,0.7968997246465969
native32@pz,leave_one_view_out,temperature,2,both_fists,0.13555555555555557,0.06600110926234054,0.68910076373491
native32@pz,leave_one_view_out,temperature,3,both_feet,0.6799116997792495,0.46256239600665555,0.7240977843185348
native32@pz,leave_one_view_out,bias,0,left_fist,0.3458980044345898,0.11591791458679977,0.7869855285427518
native32@pz,leave_one_view_out,bias,1,right_fist,0.46993318485523383,0.16694398225180254,0.7947663114816118
native32@pz,leave_one_view_out,bias,2,both_fists,0.3977777777777778,0.24292845257903495,0.690161780405683
native32@pz,leave_one_view_out,bias,3,both_feet,0.7086092715231788,0.47420965058236275,0.7302673534461613
native32@pz,leave_one_view_out,vector,0,left_fist,0.35476718403547675,0.12035496394897394,0.7882204568414699
native32@pz,leave_one_view_out,vector,1,right_fist,0.48329621380846327,0.17249029395452026,0.7980791057100467
native32@pz,leave_one_view_out,vector,2,both_fists,0.41333333333333333,0.24681087077093733,0.6904409953190442
native32@pz,leave_one_view_out,vector,3,both_feet,0.7019867549668874,0.4603438713255685,0.7280811053879487
