test_view,protocol,method,fit_views,n_validation,n_test,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,nll,ece_15,worst_class_recall,prediction_disagreement_from_identity
native16@cz,view_specific,vector,native16@cz,1734,1803,0.4437049362174154,0.4438991551847379,0.4452350481801571,0.6951919183448707,1.2477620120931203,0.041162161418611405,0.3730684326710817,0.5241264559068219
native16@cz,leave_one_view_out,temperature,native16@car|native16@fz|native16@pz,5202,1803,0.3843594009983361,0.38495884377244954,0.2635836786959452,0.6956922546607519,1.3219719177644633,0.06278553452293335,0.0,0.0
native16@cz,leave_one_view_out,bias,native16@car|native16@fz|native16@pz,5202,1803,0.42540210759844704,0.42582349584982004,0.41579075959932876,0.6972947332070232,1.3790905122931154,0.17530533792461914,0.2185430463576159,0.4364947310038824
native16@cz,leave_one_view_out,vector,native16@car|native16@fz|native16@pz,5202,1803,0.4292845257903494,0.4297935616764335,0.41276281931612113,0.6956986791381476,1.2515149319482937,0.030340435265044968,0.18322295805739514,0.4054353854686633
native16@fz,none,identity,native16@fz,1734,1803,0.3721575152523572,0.3725812010932232,0.2609331933959984,0.6849928110463757,1.9554088810636856,0.35780307649514115,0.0,0.0
native16@fz,view_specific,temperature,native16@fz,1734,1803,0.3721575152523572,0.3725812010932232,0.2609331933959984,0.6888707907166356,1.3262190110832968,0.06613027904465327,0.0,0.0
native16@fz,view_specific,bias,native16@fz,1734,1803,0.4315030504714365,0.4316396993735461,0.43184521340254123,0.6920188127889069,1.3470292398880261,0.13534510156851404,0.3554083885209713,0.49362174154187466
native16@fz,view_specific,vector,native16@fz,1734,1803,0.4292845257903494,0.4294458262952168,0.42801884582429695,0.6920757258380933,1.250248645551428,0.026042955742977523,0.3465783664459161,0.47587354409317806
native16@fz,leave_one_view_out,temperature,native16@car|native16@cz|native16@pz,5202,1803,0.3721575152523572,0.3725812010932232,0.2609331933959984,0.6888592382165766,1.326402384093458,0.06270189845441758,0.0,0.0
native16@fz,leave_one_view_out,bias,native16@car|native16@cz|native16@pz,5202,1803,0.42872989462007766,0.42876850865797567,0.42779717676229395,0.6927614380328573,1.3434460371848114,0.1341653356638613,0.3488888888888889,0.4764281752634498
native16@fz,leave_one_view_out,vector,native16@car|native16@cz|native16@pz,5202,1803,0.4226289517470882,0.42273353222638393,0.4199345633059472,0.6899134682963001,1.2580912553796317,0.03990719477779885,0.3377777777777778,0.44814198557958956
native16@pz,none,identity,native16@pz,1734,1803,0.4204104270660011,0.4205482298532667,0.3559238629504531,0.6995990000237969,1.6659995961906315,0.26014831387507986,0.017777777777777778,0.0
native16@pz,view_specific,temperature,native16@pz,1734,1803,0.4204104270660011,0.4205482298532667,0.3559238629504531,0.6978800744876844,1.2862048531172656,0.044768155796291655,0.017777777777777778,0.0
native16@pz,view_specific,bias,native16@pz,1734,1803,0.4337215751525236,0.43377858681528536,0.43574569846689826,0.6994806798788198,1.4032361482906535,0.18190597230223665,0.38222222222222224,0.38325013865779256
native16@pz,view_specific,vector,native16@pz,1734,1803,0.4348308374930671,0.4349487341103377,0.4355133865349379,0.6971061808875169,1.2441987885373256,0.025962179608488806,0.37333333333333335,0.36383804769828065
native16@pz,leave_one_view_out,temperature,native16@car|native16@cz|native16@fz,5202,1803,0.4204104270660011,0.4205482298532667,0.3559238629504531,0.6964196471896056,1.3015482001749832,0.08244557906970822,0.017777777777777778,0.0
native16@pz,leave_one_view_out,bias,native16@car|native16@cz|native16@fz,5202,1803,0.4209650582362729,0.42044845009291026,0.40977486974927857,0.6982320056270777,1.5659679909715332,0.23213665196755495,0.28159645232815966,0.5851358846367166
native16@pz,leave_one_view_out,vector,native16@car|native16@cz|native16@fz,5202,1803,0.4242928452579035,0.4238272746709773,0.4152793086758401,0.6975363159861312,1.275515864310973,0.042182390304173416,0.2838137472283814,0.5740432612312812
native32@car,none,identity,native32@car,1734,1803,0.4897393233499723,0.490037479359131,0.4624451748309892,0.7642122888418696,1.4031628787315396,0.21084525019151654,0.21555555555555556,0.0
native32@car,view_specific,temperature,native32@car,1734,1803,0.4897393233499723,0.490037479359131,0.4624451748309892,0.7615305408535258,1.1697984740215805,0.040225919001336555,0.21555555555555556,0.0
native32@car,view_specific,bias,native32@car,1734,1803,0.5252357182473655,0.5255329286030941,0.5247497747815756,0.7630709749570543,1.3007937974725898,0.16933909383937604,0.39514348785871967,0.3050471436494731
native32@car,view_specific,vector,native32@car,1734,1803,0.5219079312257349,0.5222020043515072,0.5216026755117961,0.7614154900695895,1.138101998354731,0.037549242716570695,0.39072847682119205,0.3072656683305602
native32@car,leave_one_view_out,temperature,native32@cz|native32@fz|native32@pz,5202,1803,0.4897393233499723,0.490037479359131,0.4624451748309892,0.7606941097771931,1.180349591515503,0.06414750974230067,0.21555555555555556,0.0
native32@car,leave_one_view_out,bias,native32@cz|native32@fz|native32@pz,5202,1803,0.5058236272878536,0.5062208194082198,0.503130055649255,0.7607551382053306,1.3716874520316737,0.2061904835317282,0.31346578366445915,0.3610648918469218
