method,test_view,balanced_accuracy_mean,balanced_accuracy_std,worst_class_recall_mean,class_0_recall_mean,class_1_recall_mean,class_2_recall_mean,class_3_recall_mean
gqba_gated_ce,cz,0.5268306053751438,0.014595913479292089,0.3598601620848562,0.5363984674329502,0.5856481481481481,0.37557603686635943,0.6096997690531177
gqba_gated_ce,fz,0.5339231341556304,0.016382759230276957,0.4166746120027544,0.5402298850574713,0.5995370370370371,0.4308755760368663,0.565050038491147
gqba_gated_ce,native16@car,0.44560669011819615,0.011009606072968508,0.3292548500881834,0.4789272030651341,0.4552469135802469,0.37327188940092165,0.4749807544264819
gqba_gated_ce,native16@cz,0.43505762591842173,0.006927187474660518,0.3077494737440974,0.4812260536398467,0.4837962962962963,0.33486943164362515,0.4403387220939184
gqba_gated_ce,native16@fz,0.4394843958553604,0.008460352414958837,0.3184986061330148,0.4482758620689655,0.4583333333333333,0.37480798771121354,0.47652040030792914
gqba_gated_ce,native16@pz,0.44466571949461803,0.0028412993624853627,0.3062098196506799,0.4766283524904214,0.4660493827160494,0.35176651305683565,0.48421862971516544
gqba_gated_ce,native32@car,0.48770021603292485,0.0233316934877363,0.3739225977129203,0.5340996168582376,0.4992283950617284,0.4009216589861751,0.5165511932255581
gqba_gated_ce,native32@cz,0.471791039456766,0.018608169637771652,0.33700290151903056,0.4957854406130268,0.5023148148148148,0.3686635944700461,0.5204003079291762
gqba_gated_ce,native32@fz,0.4710412065188237,0.021782257965118065,0.3293935256300848,0.4950191570881226,0.5162037037037037,0.3494623655913978,0.5234795996920708
gqba_gated_ce,native32@pz,0.4777159366861668,0.024444325641260593,0.36850358422939067,0.5126436781609195,0.48919753086419754,0.3932411674347158,0.5157813702848345
gqba_gated_ce,pz,0.5367984179092193,0.009902046255162264,0.41626486317346534,0.5448275862068965,0.5864197530864198,0.42857142857142855,0.5873749037721324
gqba_odd_even,car,0.539658146421301,0.012317687052843999,0.46121795212907485,0.5340996168582376,0.5756172839506174,0.4861751152073733,0.5627405696689761
gqba_odd_even,cz,0.5218439180889788,0.023658815413852962,0.41275785558321704,0.48965517241379314,0.5825617283950617,0.4362519201228879,0.5789068514241724
gqba_odd_even,fz,0.5296668046951619,0.016405134241065406,0.4365978083105402,0.5172413793103449,0.5733024691358025,0.489247311827957,0.5388760585065434
gqba_odd_even,native16@car,0.4454287682394826,0.019461876008788924,0.3317965616414796,0.4398467432950191,0.45679012345679015,0.4278033794162826,0.45727482678983833
gqba_odd_even,native16@cz,0.43430010940802327,0.01594763042094198,0.3272114080428168,0.43831417624521074,0.48533950617283955,0.4009216589861751,0.41262509622786764
gqba_odd_even,native16@fz,0.4367854401503248,0.012666100835271529,0.32483798439620537,0.40996168582375475,0.44367283950617287,0.4447004608294931,0.4488067744418784
gqba_odd_even,native16@pz,0.4452384417973991,0.009657580925561914,0.3410345108378956,0.421455938697318,0.4421296296296296,0.44623655913978494,0.47113163972286376
gqba_odd_even,native32@car,0.4700305081265001,0.02336005670819369,0.366524047736643,0.4888888888888889,0.49074074074074076,0.4201228878648234,0.4803695150115474
gqba_odd_even,native32@cz,0.46218682460650545,0.0280961062276491,0.35804525413157356,0.4666666666666666,0.5115740740740741,0.4039938556067588,0.46651270207852197
gqba_odd_even,native32@fz,0.4620005402377731,0.023926119883274602,0.3490047289123502,0.4628352490421456,0.5015432098765432,0.39093701996927804,0.4926866820631255
gqba_odd_even,native32@pz,0.46676355064236424,0.021300806103925568,0.3541570915093352,0.4681992337164751,0.478395061728395,0.4408602150537635,0.4795996920708237
gqba_odd_even,pz,0.5281440406140671,0.00961854781115376,0.4265705327440161,0.5149425287356322,0.5871913580246914,0.478494623655914,0.5319476520400308
gsra,car,0.5431586652807671,0.009473876923328642,0.4189646344262585,0.5210727969348659,0.5709876543209876,0.4447004608294931,0.6358737490377213
gsra,cz,0.5212789362902616,0.013503616082505993,0.32915232092095276,0.5057471264367815,0.5547839506172839,0.3548387096774193,0.6697459584295612
gsra,fz,0.5324152528689464,0.018838830231570604,0.4013242226812861,0.5026819923371647,0.5756172839506172,0.4270353302611367,0.6243264049268668
