held_out_reference,n_source_examples,n_source_views,source_gate_resamples,class_trust_caps,cap_left_fist,cap_right_fist,cap_both_fists,cap_both_feet,source_condition_audit,all_source_conditions_improve_topology,target_reference_labels_used
fc3,1380,46,5,"[0.18106711550873086, 0.2601356052819577, 0.543821916441203, 0.22074915154618202]",0.18106711550873086,0.2601356052819577,0.543821916441203,0.22074915154618202,"{""balanced"": {""topology_mean_rmse"": 0.21562411892761027, ""safe_mean_rmse"": 0.16388774449163065}, ""random"": {""topology_mean_rmse"": 0.21562411892761027, ""safe_mean_rmse"": 0.1709006384549278}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.21562411892761027, ""safe_mean_rmse"": 0.19303092379437897}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.21562411892761027, ""safe_mean_rmse"": 0.21226723717213244}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.21562411892761027, ""safe_mean_rmse"": 0.17254815305605378}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.21562411892761027, ""safe_mean_rmse"": 0.18152507830630435}}",True,False
fc4,1380,46,5,"[0.21862254245365706, 0.2587411204588306, 0.5925507895755131, 0.22829194118429047]",0.21862254245365706,0.2587411204588306,0.5925507895755131,0.22829194118429047,"{""balanced"": {""topology_mean_rmse"": 0.22764517794434186, ""safe_mean_rmse"": 0.16798858506360706}, ""random"": {""topology_mean_rmse"": 0.22764517794434186, ""safe_mean_rmse"": 0.17611964456220447}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.22764517794434186, ""safe_mean_rmse"": 0.20509337416166765}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.22764517794434186, ""safe_mean_rmse"": 0.21708893496120626}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.22764517794434186, ""safe_mean_rmse"": 0.1782547852859635}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.22764517794434186, ""safe_mean_rmse"": 0.1870257713829331}}",True,False
fc5,1410,47,5,"[0.2154505875604351, 0.25159832691081313, 0.5820252066385312, 0.2234123860983917]",0.2154505875604351,0.25159832691081313,0.5820252066385312,0.2234123860983917,"{""balanced"": {""topology_mean_rmse"": 0.22374908437803362, ""safe_mean_rmse"": 0.16641242957211247}, ""random"": {""topology_mean_rmse"": 0.22374908437803362, ""safe_mean_rmse"": 0.17418377493396708}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.22374908437803362, ""safe_mean_rmse"": 0.20284937467353464}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.22374908437803362, ""safe_mean_rmse"": 0.21492970718343887}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.22374908437803362, ""safe_mean_rmse"": 0.17582841659048612}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.22374908437803362, ""safe_mean_rmse"": 0.1851708575188567}}",True,False
fc6,1410,47,5,"[0.2102444698975411, 0.2523433033269211, 0.48696360872536726, 0.2375628699497031]",0.2102444698975411,0.2523433033269211,0.48696360872536726,0.2375628699497031,"{""balanced"": {""topology_mean_rmse"": 0.21848793400164998, ""safe_mean_rmse"": 0.16701862528878686}, ""random"": {""topology_mean_rmse"": 0.21848793400164998, ""safe_mean_rmse"": 0.17324787825319513}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.21848793400164998, ""safe_mean_rmse"": 0.20063599333892812}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.21848793400164998, ""safe_mean_rmse"": 0.21434630433554092}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.21848793400164998, ""safe_mean_rmse"": 0.17475082975403022}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.21848793400164998, ""safe_mean_rmse"": 0.183646138554221}}",True,False
fz,1380,46,5,"[0.21467371054962142, 0.25771620420555563, 0.5826971885210974, 0.21479324341889008]",0.21467371054962142,0.25771620420555563,0.5826971885210974,0.21479324341889008,"{""balanced"": {""topology_mean_rmse"": 0.22541110477630294, ""safe_mean_rmse"": 0.1672556148283711}, ""random"": {""topology_mean_rmse"": 0.22541110477630294, ""safe_mean_rmse"": 0.17492168051072457}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.22541110477630294, ""safe_mean_rmse"": 0.20250911616096223}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.22541110477630294, ""safe_mean_rmse"": 0.21678959796593927}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.22541110477630294, ""safe_mean_rmse"": 0.1763885512840981}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.22541110477630294, ""safe_mean_rmse"": 0.18571493280152668}}",True,False
o1,1410,47,5,"[0.2245553521882233, 0.26362027939088534, 0.6052040580067992, 0.23680916749223702]",0.2245553521882233,0.26362027939088534,0.6052040580067992,0.23680916749223702,"{""balanced"": {""topology_mean_rmse"": 0.22894290457353186, ""safe_mean_rmse"": 0.16757073701096076}, ""random"": {""topology_mean_rmse"": 0.22894290457353186, ""safe_mean_rmse"": 0.1763993525054362}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.22894290457353186, ""safe_mean_rmse"": 0.20671310662237022}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.22894290457353186, ""safe_mean_rmse"": 0.21878538757841676}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.22894290457353186, ""safe_mean_rmse"": 0.17872120845379086}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.22894290457353186, ""safe_mean_rmse"": 0.18768855277141688}}",True,False
o2,1410,47,5,"[0.21876479481497269, 0.27761893137714494, 0.6140405671493625, 0.23923505771293235]",0.21876479481497269,0.27761893137714494,0.6140405671493625,0.23923505771293235,"{""balanced"": {""topology_mean_rmse"": 0.23064957933385796, ""safe_mean_rmse"": 0.1676758533907545}, ""random"": {""topology_mean_rmse"": 0.23064957933385796, ""safe_mean_rmse"": 0.17667194284084733}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.23064957933385796, ""safe_mean_rmse"": 0.20681721626980937}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.23064957933385796, ""safe_mean_rmse"": 0.21946365436082757}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.23064957933385796, ""safe_mean_rmse"": 0.1786429228306684}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.23064957933385796, ""safe_mean_rmse"": 0.188094723035383}}",True,False
p3,1410,47,5,"[0.21252811100145955, 0.2649841487723293, 0.5811918690601707, 0.23836838126191864]",0.21252811100145955,0.2649841487723293,0.5811918690601707,0.23836838126191864,"{""balanced"": {""topology_mean_rmse"": 0.22633245959824394, ""safe_mean_rmse"": 0.16722851559929}, ""random"": {""topology_mean_rmse"": 0.22633245959824394, ""safe_mean_rmse"": 0.17458274677577154}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.22633245959824394, ""safe_mean_rmse"": 0.20604568942757362}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.22633245959824394, ""safe_mean_rmse"": 0.2152728354353791}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.22633245959824394, ""safe_mean_rmse"": 0.17559378229283013}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.22633245959824394, ""safe_mean_rmse"": 0.18688180638383192}}",True,False
p4,1410,47,5,"[0.21456826265115012, 0.26175197941561057, 0.5753183110948835, 0.23625960471033522]",0.21456826265115012,0.26175197941561057,0.5753183110948835,0.23625960471033522,"{""balanced"": {""topology_mean_rmse"": 0.22371922145765652, ""safe_mean_rmse"": 0.16606977881315724}, ""random"": {""topology_mean_rmse"": 0.22371922145765652, ""safe_mean_rmse"": 0.1738091149269879}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.22371922145765652, ""safe_mean_rmse"": 0.2023155188044687}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.22371922145765652, ""safe_mean_rmse"": 0.2169159044846765}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.22371922145765652, ""safe_mean_rmse"": 0.1751341611468438}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.22371922145765652, ""safe_mean_rmse"": 0.18528170316451334}}",True,False
po3,1410,47,5,"[0.20729413487993847, 0.2689006626747432, 0.5812053818109639, 0.23856361955779337]",0.20729413487993847,0.2689006626747432,0.5812053818109639,0.23856361955779337,"{""balanced"": {""topology_mean_rmse"": 0.22528487527322028, ""safe_mean_rmse"": 0.16663938209002083}, ""random"": {""topology_mean_rmse"": 0.22528487527322028, ""safe_mean_rmse"": 0.1743550180801672}, ""skew_0.7_class_0"": {""topology_mean_rmse"": 0.22528487527322028, ""safe_mean_rmse"": 0.20459513420221725}, ""skew_0.7_class_1"": {""topology_mean_rmse"": 0.22528487527322028, ""safe_mean_rmse"": 0.21469269227995078}, ""skew_0.7_class_2"": {""topology_mean_rmse"": 0.22528487527322028, ""safe_mean_rmse"": 0.17468545068063895}, ""skew_0.7_class_3"": {""topology_mean_rmse"": 0.22528487527322028, ""safe_mean_rmse"": 0.18632961253975747}}",True,False
