held_out_reference,source_view,montage,condition,batch_size,repeat,topology_bias,raw_candidate_bias,source_oracle_bias,target_reference_labels_used
c1,native16@C3,native16,balanced,128,3,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.4058788939968168, -2.06797475855223, 1.665630997958618]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,balanced,128,4,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.4858259775448556, -1.936426284685241, 1.4695775665772266]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,skew_0.7_class_0,128,0,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-1.0153394246306224, -1.5905481396627017, 1.621286217804167]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,skew_0.7_class_0,128,1,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.8558272741792957, -1.5972722876657928, 1.5605079761146692]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,skew_0.7_class_0,128,2,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-1.0258747117635834, -1.4674268471331977, 1.5996135422896347]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,skew_0.7_class_0,128,3,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.9625458136713442, -1.5408972927269835, 1.562183903578628]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,skew_0.7_class_0,128,4,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-1.1020533617615285, -1.534830335507722, 1.6295394142804267]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,skew_0.7_class_1,128,0,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.3062231422737633, -2.2776323444012694, 1.590340209162065]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,skew_0.7_class_1,128,1,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.2546127060363347, -2.3475253552945117, 1.6756153475189424]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,skew_0.7_class_1,128,2,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.18034935595261162, -2.3431200342300302, 1.6432496387079876]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,skew_0.7_class_1,128,3,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.19490026104776764, -2.3434147418116793, 1.6394059072470117]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,skew_0.7_class_1,128,4,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.23411069310127666, -2.331287061780266, 1.5833465469073251]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,skew_0.7_class_2,128,0,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.38210959675016903, -1.9937438655806978, 1.4202096394014845]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,skew_0.7_class_2,128,1,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.6004993409160947, -1.9339064193738509, 1.4979244080360805]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,skew_0.7_class_2,128,2,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.3705324669601009, -1.9887945005562986, 1.457414778505715]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,skew_0.7_class_2,128,3,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.5090460089974584, -1.7974341639661735, 1.4231897761163683]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,skew_0.7_class_2,128,4,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.3304812629689964, -1.8623946216480176, 1.4050230025805042]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,skew_0.7_class_3,128,0,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.38572704299009525, -1.9081577884389032, 1.6270570638498114]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
c1,native16@C3,native16,skew_0.7_class_3,128,1,"[-0.5836387715953506, -1.8137087831526917, 1.3768736560650723]","[-0.28670408786713436, -1.8591770376716499, 1.4861282455424665]","[-0.4684273686333415, -1.9085998342845452, 1.5627557909500198]",False
