condition,batch_size,repeat,stress_construction_uses_labels,target_view,montage,held_out_reference,method,target_reference_labels_used,target_unlabeled_logits_used,prior_match_weight,accuracy,balanced_accuracy,nll,ece_15,worst_class_recall,car_anchor_balanced_accuracy,target_bias_rmse,max_class_recall_gap_to_car,mean_class_recall_gap_to_car
skew_0.7_class_3,128,11,True,native32@C2,native32,c2,fixed_topology_shrinkage,False,True,0.7435405826262377,0.4892086330935252,0.4887508626639061,1.4441840432966708,0.2341816010061901,0.3904761904761905,0.5027087646652865,0.3531759602897186,0.1095238095238095,0.0598516218081435
skew_0.7_class_3,128,11,True,native32@C2,native32,c2,operator_confusion_shrinkage,False,True,0.7435405826262377,0.4880095923261391,0.48743961352657,1.44672863825796,0.236017282639266,0.3671497584541063,0.5027087646652865,0.2390543791888055,0.0904761904761904,0.0442546583850931
skew_0.7_class_3,128,11,True,native32@C3,native32,c3,uniform_prior_match,False,True,,0.4640287769784172,0.463543823326432,1.4393039566210504,0.2229958393967052,0.3381642512077294,0.5027087646652865,0.3498667006443511,0.119047619047619,0.0560731538992408
skew_0.7_class_3,128,11,True,native32@C3,native32,c3,fixed_topology_shrinkage,False,True,0.7385072023712658,0.4664268585131894,0.4658730158730159,1.445380340310722,0.2242019928959946,0.3188405797101449,0.5027087646652865,0.3371613708620398,0.119047619047619,0.0513285024154589
skew_0.7_class_3,128,11,True,native32@C3,native32,c3,operator_confusion_shrinkage,False,True,0.7385072023712658,0.4628297362110312,0.4621463077984816,1.4557681536387177,0.2336895196177704,0.2801932367149758,0.5027087646652865,0.3128724609928108,0.1047619047619047,0.052639751552795
skew_0.7_class_3,128,11,True,native32@C4,native32,c4,uniform_prior_match,False,True,,0.4988009592326139,0.49811939268461,1.4196450123649331,0.2138056810019257,0.3768115942028985,0.5027087646652865,0.224251640389669,0.0483091787439613,0.028743961352657
skew_0.7_class_3,128,11,True,native32@C4,native32,c4,fixed_topology_shrinkage,False,True,0.7275455572832535,0.4976019184652278,0.4968426501035196,1.4169178387763226,0.2144353567430729,0.3719806763285024,0.5027087646652865,0.1018301032879319,0.0434782608695651,0.0276052449965493
skew_0.7_class_3,128,11,True,native32@C4,native32,c4,operator_confusion_shrinkage,False,True,0.7275455572832535,0.4940047961630695,0.4930814354727398,1.4304964470507084,0.2216962711380991,0.3333333333333333,0.5027087646652865,0.1297451624347922,0.0338164251207729,0.0120427881297446
skew_0.7_class_3,128,11,True,native32@C5,native32,c5,uniform_prior_match,False,True,,0.4976019184652278,0.4971877156659766,1.42760517333534,0.1895449352446472,0.3714285714285714,0.5027087646652865,0.2521871316372585,0.1304347826086956,0.0707384403036576
skew_0.7_class_3,128,11,True,native32@C5,native32,c5,fixed_topology_shrinkage,False,True,0.7382909481131862,0.4964028776978417,0.4958592132505176,1.4033414080327395,0.1862474049784105,0.4047619047619047,0.5027087646652865,0.1514830511799729,0.0966183574879226,0.0551587301587301
skew_0.7_class_3,128,11,True,native32@C5,native32,c5,operator_confusion_shrinkage,False,True,0.7382909481131862,0.4940047961630695,0.4933057280883368,1.4081818555613663,0.1939603393432518,0.3864734299516908,0.5027087646652865,0.0737052344834442,0.0714285714285714,0.0383885438233264
skew_0.7_class_3,128,11,True,native32@C6,native32,c6,uniform_prior_match,False,True,,0.4964028776978417,0.4957902001380262,1.3494049812138371,0.1901675035416263,0.4009661835748792,0.5027087646652865,0.2185521691974957,0.0917874396135265,0.0528122843340234
skew_0.7_class_3,128,11,True,native32@C6,native32,c6,fixed_topology_shrinkage,False,True,0.7496586809881378,0.4988009592326139,0.4980331262939959,1.365667273102269,0.1972092465346555,0.3864734299516908,0.5027087646652865,0.1658782912164584,0.0676328502415458,0.0384920634920634
skew_0.7_class_3,128,11,True,native32@C6,native32,c6,operator_confusion_shrinkage,False,True,0.7496586809881378,0.4988009592326139,0.4979123533471359,1.3784323485694936,0.1973679445023256,0.3478260869565217,0.5027087646652865,0.1169157794216776,0.0289855072463768,0.016839199447895
skew_0.7_class_3,128,11,True,native32@CP1,native32,cp1,uniform_prior_match,False,True,,0.4772182254196642,0.476984126984127,1.566713164859309,0.2597238509850413,0.3380952380952381,0.5027087646652865,0.5835512013981431,0.1619047619047618,0.0909420289855072
skew_0.7_class_3,128,11,True,native32@CP1,native32,cp1,fixed_topology_shrinkage,False,True,0.7395499093055339,0.4712230215827338,0.4709282263630089,1.5598094364567294,0.2652939236289476,0.3428571428571428,0.5027087646652865,0.4881358207334292,0.1571428571428571,0.0825051759834368
skew_0.7_class_3,128,11,True,native32@CP1,native32,cp1,operator_confusion_shrinkage,False,True,0.7395499093055339,0.4724220623501199,0.4720324361628709,1.563285040692417,0.2657773408440761,0.3476190476190476,0.5027087646652865,0.4107337540835232,0.1523809523809524,0.0693236714975845
skew_0.7_class_3,128,11,True,native32@CP2,native32,cp2,uniform_prior_match,False,True,,0.4904076738609113,0.4900621118012422,1.452289940837613,0.2274484055614765,0.4095238095238095,0.5027087646652865,0.3921920048662948,0.1062801932367149,0.0754485852311939
skew_0.7_class_3,128,11,True,native32@CP2,native32,cp2,fixed_topology_shrinkage,False,True,0.7460686841065518,0.4964028776978417,0.4959454796411318,1.453040410647947,0.2222543747830001,0.4285714285714285,0.5027087646652865,0.2814643406515359,0.1014492753623188,0.059903381642512
skew_0.7_class_3,128,11,True,native32@CP2,native32,cp2,operator_confusion_shrinkage,False,True,0.7460686841065518,0.4988009592326139,0.4981711525189786,1.4625130465815463,0.2213717187304392,0.391304347826087,0.5027087646652865,0.1827976053601767,0.0628019323671497,0.0359385783298826
skew_0.7_class_3,128,11,True,native32@CP3,native32,cp3,uniform_prior_match,False,True,,0.4580335731414868,0.4576086956521739,1.5105311405313044,0.2424002817043856,0.323671497584541,0.5027087646652865,0.4983793545247231,0.1666666666666666,0.0668391994478951
skew_0.7_class_3,128,11,True,native32@CP3,native32,cp3,fixed_topology_shrinkage,False,True,0.7257368746782763,0.4544364508393285,0.453847481021394,1.527572502233406,0.2490857814208891,0.2705314009661835,0.5027087646652865,0.4610631524006124,0.1619047619047618,0.0706004140786749
skew_0.7_class_3,128,11,True,native32@CP3,native32,cp3,operator_confusion_shrinkage,False,True,0.7257368746782763,0.4544364508393285,0.4536922015182885,1.5423474239804105,0.255199028006313,0.2270531400966183,0.5027087646652865,0.4154013260511844,0.1523809523809524,0.0778985507246377
skew_0.7_class_3,128,11,True,native32@CP4,native32,cp4,uniform_prior_match,False,True,,0.4964028776978417,0.4957384403036576,1.4323964700974852,0.2078105359911036,0.3719806763285024,0.5027087646652865,0.2855866517123521,0.0434782608695651,0.0311249137336093
skew_0.7_class_3,128,11,True,native32@CP4,native32,cp4,fixed_topology_shrinkage,False,True,0.7449116532161587,0.4976019184652278,0.4968944099378882,1.432909590124942,0.2079824443567962,0.3671497584541063,0.5027087646652865,0.1774707429851588,0.038647342995169,0.0251380262249827
skew_0.7_class_3,128,11,True,native32@CP4,native32,cp4,operator_confusion_shrinkage,False,True,0.7449116532161587,0.4976019184652278,0.4967218771566598,1.4492645076081785,0.2099498226869699,0.3381642512077294,0.5027087646652865,0.0824535472584269,0.0193236714975845,0.0108178053830227
skew_0.7_class_3,128,11,True,native32@CP5,native32,cp5,uniform_prior_match,False,True,,0.4652278177458033,0.4645962732919254,1.42804515609438,0.2310492498207444,0.3043478260869565,0.5027087646652865,0.2790927960565566,0.1285714285714285,0.0477743271221532
skew_0.7_class_3,128,11,True,native32@CP5,native32,cp5,fixed_topology_shrinkage,False,True,0.7363481471488542,0.4688249400479616,0.4681331953071083,1.408513391861815,0.2265678282686012,0.2946859903381642,0.5027087646652865,0.2269992526823174,0.1047619047619047,0.0442374051069703
skew_0.7_class_3,128,11,True,native32@CP5,native32,cp5,operator_confusion_shrinkage,False,True,0.7363481471488542,0.4676258992805755,0.4668564527260179,1.4171450251620377,0.2294013725281315,0.2705314009661835,0.5027087646652865,0.1697856463251938,0.0904761904761904,0.0455141476880607
skew_0.7_class_3,128,11,True,native32@CP6,native32,cp6,uniform_prior_match,False,True,,0.4928057553956834,0.4920117322291235,1.4059588968492838,0.2122544732177419,0.3333333333333333,0.5027087646652865,0.2574428444236635,0.0428571428571428,0.0131124913733609
skew_0.7_class_3,128,11,True,native32@CP6,native32,cp6,fixed_topology_shrinkage,False,True,0.7382819094166014,0.4964028776978417,0.4956176673567977,1.3993713771142238,0.2041768190494948,0.3381642512077294,0.5027087646652865,0.2717443676761257,0.0428571428571428,0.0143374741200827
skew_0.7_class_3,128,11,True,native32@CP6,native32,cp6,operator_confusion_shrinkage,False,True,0.7382819094166014,0.4844124700239808,0.4835403726708074,1.4134788699413103,0.2197406805467706,0.2898550724637681,0.5027087646652865,0.2689900411968328,0.0428571428571428,0.021583850931677
skew_0.7_class_3,128,11,True,native32@CPz,native32,cpz,uniform_prior_match,False,True,,0.4940047961630695,0.4936162870945479,1.4817000462024756,0.2245868255238524,0.4,0.5027087646652865,0.3095099185427881,0.1111111111111111,0.0694789510006901
skew_0.7_class_3,128,11,True,native32@CPz,native32,cpz,fixed_topology_shrinkage,False,True,0.7443060383770391,0.4928057553956834,0.4923740510697033,1.482497148575577,0.2276628663304737,0.4,0.5027087646652865,0.2208788915605293,0.1014492753623188,0.0634748102139406
skew_0.7_class_3,128,11,True,native32@CPz,native32,cpz,operator_confusion_shrinkage,False,True,0.7443060383770391,0.4964028776978417,0.4957729468599033,1.4894786697396012,0.2313796212573902,0.391304347826087,0.5027087646652865,0.1288157308596832,0.0628019323671497,0.0383367839889579
skew_0.7_class_3,128,11,True,native32@Cz,native32,cz,uniform_prior_match,False,True,,0.486810551558753,0.4863699102829537,1.4422328604089811,0.231308358413829,0.3904761904761905,0.5027087646652865,0.4052844613513717,0.1095238095238095,0.0622325741890959
skew_0.7_class_3,128,11,True,native32@Cz,native32,cz,fixed_topology_shrinkage,False,True,0.7435674718008004,0.4856115107913669,0.4850931677018634,1.4402932650026274,0.2311676214187085,0.391304347826087,0.5027087646652865,0.3292152150350697,0.0904761904761904,0.0514320220841959
skew_0.7_class_3,128,11,True,native32@Cz,native32,cz,operator_confusion_shrinkage,False,True,0.7435674718008004,0.4832134292565947,0.4825051759834368,1.4485322740965572,0.2341562489944043,0.3429951690821256,0.5027087646652865,0.2575744880861226,0.0714285714285714,0.0274499654934437
skew_0.7_class_3,128,11,True,native32@F1,native32,f1,uniform_prior_match,False,True,,0.4664268585131894,0.4660110420979986,1.3780744603038195,0.2082002145283616,0.3333333333333333,0.5027087646652865,0.2963664920996895,0.1333333333333333,0.0656832298136645
skew_0.7_class_3,128,11,True,native32@F1,native32,f1,fixed_topology_shrinkage,False,True,0.7405485657315638,0.4784172661870504,0.4778295376121463,1.3765447473399277,0.1984015049649566,0.3140096618357488,0.5027087646652865,0.2126062531311863,0.1047619047619047,0.0490338164251207
skew_0.7_class_3,128,11,True,native32@F1,native32,f1,operator_confusion_shrinkage,False,True,0.7405485657315638,0.4760191846522781,0.4752760524499655,1.3836289560374757,0.2046652874121819,0.2753623188405797,0.5027087646652865,0.1627975284117774,0.0761904761904761,0.0467563837129054
skew_0.7_class_3,128,11,True,native32@F2,native32,f2,uniform_prior_match,False,True,,0.4904076738609113,0.4899585921325051,1.3619213644694923,0.1886105358930725,0.3864734299516908,0.5027087646652865,0.3111827851586285,0.0761904761904761,0.0610593512767425
skew_0.7_class_3,128,11,True,native32@F2,native32,f2,fixed_topology_shrinkage,False,True,0.7403898838716253,0.4928057553956834,0.4923050379572118,1.3473276777485832,0.1827212619910986,0.3719806763285024,0.5027087646652865,0.2565785507069156,0.0714285714285714,0.0538819875776397
skew_0.7_class_3,128,11,True,native32@F2,native32,f2,operator_confusion_shrinkage,False,True,0.7403898838716253,0.5011990407673861,0.5005693581780538,1.3526930146300185,0.1763638106801798,0.357487922705314,0.5027087646652865,0.1872953646162133,0.0428571428571428,0.0359558316080055
skew_0.7_class_3,128,11,True,native32@F3,native32,f3,uniform_prior_match,False,True,,0.4796163069544364,0.4794168391994479,1.3906467430372975,0.1986601259798565,0.419047619047619,0.5027087646652865,0.5078052853398572,0.1571428571428571,0.0957556935817805
skew_0.7_class_3,128,11,True,native32@F3,native32,f3,fixed_topology_shrinkage,False,True,0.742638903351468,0.4880095923261391,0.4876121463077985,1.3745891694491328,0.1883791183515453,0.4009661835748792,0.5027087646652865,0.3339567728421173,0.1428571428571428,0.0682367149758454
skew_0.7_class_3,128,11,True,native32@F3,native32,f3,operator_confusion_shrinkage,False,True,0.742638903351468,0.4880095923261391,0.4873878536922015,1.3765802630201642,0.196293589871353,0.3429951690821256,0.5027087646652865,0.1815842084696906,0.0999999999999999,0.0370600414078674
skew_0.7_class_3,128,11,True,native32@F4,native32,f4,uniform_prior_match,False,True,,0.4940047961630695,0.4936162870945479,1.374761894379449,0.195889641886766,0.4285714285714285,0.5027087646652865,0.3621894698762002,0.1062801932367149,0.0694789510006901
skew_0.7_class_3,128,11,True,native32@F4,native32,f4,fixed_topology_shrinkage,False,True,0.7197122245887891,0.4988009592326139,0.4984299516908212,1.35336078603099,0.1854340040331679,0.4202898550724637,0.5027087646652865,0.3949030011541588,0.0999999999999999,0.071911663216011
skew_0.7_class_3,128,11,True,native32@F4,native32,f4,operator_confusion_shrinkage,False,True,0.7197122245887891,0.4928057553956834,0.4923222912353346,1.3573112499465625,0.193396943757459,0.3768115942028985,0.5027087646652865,0.3923528076537415,0.0857142857142857,0.0562801932367149
skew_0.7_class_3,128,11,True,native32@FC1,native32,fc1,uniform_prior_match,False,True,,0.4916067146282973,0.4910973084886128,1.3539693615385595,0.1957437663714651,0.3526570048309179,0.5027087646652865,0.351960568933619,0.0714285714285714,0.0526742581090407
skew_0.7_class_3,128,11,True,native32@FC1,native32,fc1,fixed_topology_shrinkage,False,True,0.7439848774631718,0.4916067146282973,0.4910110420979986,1.353813873931051,0.1969918639765255,0.3526570048309179,0.5027087646652865,0.2710247768563131,0.0523809523809524,0.0406832298136645
skew_0.7_class_3,128,11,True,native32@FC1,native32,fc1,operator_confusion_shrinkage,False,True,0.7439848774631718,0.4988009592326139,0.4981021394064872,1.3623381225231086,0.1927527608682267,0.3478260869565217,0.5027087646652865,0.2029336070187283,0.0333333333333333,0.0263457556935817
skew_0.7_class_3,128,11,True,native32@FC2,native32,fc2,uniform_prior_match,False,True,,0.5059952038369304,0.5056935817805384,1.3867746846607816,0.1919937481993321,0.4142857142857143,0.5027087646652865,0.6594434208425874,0.1159420289855072,0.0815562456866804
skew_0.7_class_3,128,11,True,native32@FC2,native32,fc2,fixed_topology_shrinkage,False,True,0.7375899269025779,0.5083932853717026,0.5080227743271222,1.3664887873113565,0.1899019628643008,0.4347826086956521,0.5027087646652865,0.4806306677194081,0.1062801932367149,0.0719806763285024
skew_0.7_class_3,128,11,True,native32@FC2,native32,fc2,operator_confusion_shrinkage,False,True,0.7375899269025779,0.513189448441247,0.5126811594202898,1.3642204651926473,0.1896060268283316,0.4106280193236715,0.5027087646652865,0.3500210408880982,0.0821256038647342,0.0528295376121463
