probe_seed,comparison,dominant_class,class_name,metric,candidate,baseline,candidate_cluster_mean,baseline_cluster_mean,candidate_minus_baseline,ci_lower,ci_upper,confidence,n_resamples,n_repeats,n_reference_clusters,static_baseline_broadcast_across_repeats,direction,noninferiority_tolerance,point_improves,interval_confirms_improvement,point_within_tolerance,interval_confirms_noninferiority,material_harm_detected
42,severe_skew,,,target_bias_rmse,class_operator_trust_safeguard,topology_ridge,0.1746503072249666,0.19068730921548682,-0.016037001990520237,-0.03315273420982618,0.0003221309628244758,0.95,5000,20,32,True,lower,0.0,True,False,True,False,False
21,severe_skew,,,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.42901999358393716,0.4253485701345756,0.003671423449361623,0.001831441959568011,0.005455243581241375,0.95,5000,20,32,True,higher,0.01,True,True,True,True,False
42,severe_skew,,,balanced_accuracy,class_operator_trust_safeguard,topology_ridge,0.4351121395682367,0.4356991890959282,-0.0005870495276915192,-0.002251894912035248,0.0011316815172910176,0.95,5000,20,32,True,higher,0.01,False,False,True,True,False
21,severe_skew,,,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.17814176802967563,0.126043823326432,0.05209794470324362,0.037432109361520895,0.06649260265700485,0.95,5000,20,32,True,lower,0.01,False,False,False,False,True
42,severe_skew,,,max_class_recall_gap_to_car,class_operator_trust_safeguard,topology_ridge,0.08916724626897858,0.10192913216011039,-0.012761885891131811,-0.022702176406681325,-0.0030063469822938214,0.95,5000,20,32,True,lower,0.01,True,True,True,True,False
21,severe_left_fist,0.0,left_fist,target_bias_rmse,class_operator_trust_safeguard,operator_confusion_shrinkage,0.14385013068716235,0.1481591562158754,-0.004309025528713048,-0.020294463765909068,0.013471125089130565,0.95,5000,20,32,False,lower,0.0,True,False,True,False,False
42,severe_left_fist,0.0,left_fist,target_bias_rmse,class_operator_trust_safeguard,operator_confusion_shrinkage,0.16493556489507655,0.3652137773434598,-0.2002782124483832,-0.2377648825058007,-0.15785393635169293,0.95,5000,20,32,False,lower,0.0,True,True,True,True,False
21,severe_left_fist,0.0,left_fist,balanced_accuracy,class_operator_trust_safeguard,operator_confusion_shrinkage,0.4284344402389578,0.42914868551587304,-0.0007142452769151144,-0.0019132136521954814,0.00041224517716959545,0.95,5000,20,32,False,higher,0.01,False,False,True,True,False
42,severe_left_fist,0.0,left_fist,balanced_accuracy,class_operator_trust_safeguard,operator_confusion_shrinkage,0.4356498150664251,0.429126323649931,0.006523491416494132,0.0037816078707298235,0.009214343337538827,0.95,5000,20,32,False,higher,0.01,True,True,True,True,False
21,severe_left_fist,0.0,left_fist,max_class_recall_gap_to_car,class_operator_trust_safeguard,operator_confusion_shrinkage,0.15901079408212557,0.16985189139061418,-0.010841097308488609,-0.016677583408816418,-0.004626304779158037,0.95,5000,20,32,False,lower,0.01,True,True,True,True,False
