view,montage,reference,n_fit_trials,oracle_bias_objective,oracle_bias_optimizer_success,oracle_bias_parameters,topology_reference_x,topology_reference_y,topology_centroid_x,topology_centroid_y,topology_relative_x,topology_relative_y,topology_centroid_distance,topology_absolute_relative_x,topology_absolute_relative_y,topology_relative_xy,topology_relative_x_squared,topology_relative_y_squared,topology_log_montage_size,topology_car_flag,logit_centered_logit_mean_0,logit_centered_logit_mean_1,logit_centered_logit_mean_2,logit_centered_logit_mean_3,logit_centered_logit_std_0,logit_centered_logit_std_1,logit_centered_logit_std_2,logit_centered_logit_std_3,logit_predicted_fraction_0,logit_predicted_fraction_1,logit_predicted_fraction_2,logit_predicted_fraction_3,logit_confidence_mean,logit_confidence_std,logit_entropy_mean,logit_entropy_std
native16@Pz,native16,pz,900,1.502560260518879,True,"[-1.0595386990363165, -0.7961891034055125, 1.7012200920052905]",0.0,-0.5,0.0,-0.015625,0.0,-0.484375,0.484375,0.0,0.484375,-0.0,0.0,0.234619140625,0.8,0.0,1.0295878066169097,0.5568898457976886,-1.5034146195696667,-0.08306303284493172,1.3779290850317238,1.513962173342601,0.8304854346363362,1.1606238208147526,0.4411111111111111,0.38555555555555554,0.008888888888888889,0.16444444444444445,0.695782864636064,0.1815054139535705,0.7612431797069227,0.3326368443900691
native16@car,native16,car,900,1.413508164275477,True,"[-1.6610281517379546, -1.4911287655310137, 1.7275799397200693]",0.0,-0.015625,0.0,-0.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,1.5964247804135083,1.2912979064498924,-1.585640126541257,-1.302082560322144,1.2119506747933715,1.3200064043499495,0.729446493000937,0.9135153688740798,0.5233333333333333,0.4633333333333333,0.0011111111111111111,0.012222222222222223,0.7523402099345806,0.1655833998160942,0.6307063649912592,0.30324369454899297
native32@C1,native32,c1,900,1.5393829724352275,True,"[-0.5574401846947665, -0.752584998397835, 1.4922444716105416]",-0.25,0.0,0.0,-0.0859375,-0.25,0.0859375,0.26435819243263486,0.25,0.0859375,-0.021484375,0.0625,0.00738525390625,1.0,0.0,0.5432837234176178,0.5425602518971492,-1.3351116520210375,0.24926767670627062,1.7750653287346119,1.7573499967280524,1.077274539471753,1.4078843215172812,0.31666666666666665,0.4111111111111111,0.035555555555555556,0.23666666666666666,0.7132697446332165,0.20335312648324774,0.7229936626716843,0.39594097297488207
native32@C2,native32,c2,900,1.5326616135537536,True,"[-1.344960764096376, -0.22055667029446194, 1.8150715013360974]",0.25,0.0,0.0,-0.0859375,0.25,0.0859375,0.26435819243263486,0.25,0.0859375,0.021484375,0.0625,0.00738525390625,1.0,0.0,1.2252738371077512,0.08881323848230144,-1.6141383441403094,0.3000512685502569,1.7830133961470693,1.7447808020483149,1.0332574617577248,1.454267796720595,0.4711111111111111,0.28555555555555556,0.011111111111111112,0.23222222222222222,0.7313019515837977,0.19486085828180658,0.6818193751266289,0.3862911902136667
native32@C3,native32,c3,900,1.588178107949196,True,"[0.20406549769068594, -1.359209951588007, 1.1949661768391917]",-0.55,0.0,0.0,-0.0859375,-0.55,0.0859375,0.5566733817116192,0.55,0.0859375,-0.047265625000000006,0.30250000000000005,0.00738525390625,1.0,0.0,-0.15633307789788686,1.0830372607767478,-1.0499060679819538,0.12320188510309284,1.7046505116909616,1.745332587590683,1.0136247312440576,1.2887524580363077,0.20222222222222222,0.5266666666666666,0.044444444444444446,0.22666666666666666,0.7168621270097311,0.19727064167367758,0.7216482072081305,0.38283751536971095
native32@C4,native32,c4,900,1.540597491745252,True,"[-1.7656003525297703, 0.4696455453993626, 1.733439063455108]",0.55,0.0,0.0,-0.0859375,0.55,0.0859375,0.5566733817116192,0.55,0.0859375,0.047265625000000006,0.30250000000000005,0.00738525390625,1.0,0.0,1.685012556363363,-0.5626662113732245,-1.575265685412774,0.4529193404226357,1.7165828906361007,1.7097990349855277,1.0345452107774158,1.3459339096096867,0.5788888888888889,0.17,0.02,0.2311111111111111,0.7181501293150038,0.19698818007676192,0.6911540982543912,0.3832448510134049
native32@C5,native32,c5,900,1.5295883728805038,True,"[0.035097989939793996, -1.0329340321759013, 1.2661318548591478]",-0.85,0.0,0.0,-0.0859375,-0.85,0.0859375,0.8543332218205317,0.85,0.0859375,-0.073046875,0.7224999999999999,0.00738525390625,1.0,0.0,-0.050246453270859394,0.7841575858233651,-1.1495203473823818,0.415609214829876,1.787884010733614,1.724221755302348,1.0587018154488919,1.1736775720167143,0.22,0.4711111111111111,0.04,0.2688888888888889,0.6944056962148419,0.19802775775675283,0.7632381361621434,0.38441004751474406
native32@C6,native32,c6,900,1.511917435619258,True,"[-1.4133954858425635, 0.5831812937812787, 1.4548709453644235]",0.85,0.0,0.0,-0.0859375,0.85,0.0859375,0.8543332218205317,0.85,0.0859375,0.073046875,0.7224999999999999,0.00738525390625,1.0,0.0,1.3039322471838548,-0.6301492935199187,-1.3596792247133433,0.6858962710494072,1.818112610515448,1.6638638687026261,1.1159841175612673,1.3438707272470074,0.4711111111111111,0.1622222222222222,0.03666666666666667,0.33,0.7051807497292013,0.19894833456315658,0.7239136329803494,0.38751835078156716
native32@CP1,native32,cp1,900,1.5941941059814733,True,"[-0.23238818535505393, -0.7596217921466314, 1.4001051287409951]",-0.25,-0.25,0.0,-0.0859375,-0.25,-0.1640625,0.2990259251406975,0.25,0.1640625,0.041015625,0.0625,0.02691650390625,1.0,0.0,0.29202846735948695,0.5480301026868013,-1.2291445827388412,0.3890860126925529,1.7848164531651232,1.8489419719837974,1.1548283223377753,1.583837507505308,0.26,0.40555555555555556,0.043333333333333335,0.2911111111111111,0.7247075949248835,0.20004902973995045,0.6969757733673047,0.38879626736394385
native32@CP2,native32,cp2,900,1.536548599268072,True,"[-0.9994458452601884, -0.09386599617365698, 1.7063620819849359]",0.25,-0.25,0.0,-0.0859375,0.25,-0.1640625,0.2990259251406975,0.25,0.1640625,-0.041015625,0.0625,0.02691650390625,1.0,0.0,0.9589232197317243,-0.07029744617628036,-1.5070765979669523,0.6184508244115083,1.779831515854268,1.8310550355029338,1.0881843469561356,1.49047177400081,0.4022222222222222,0.27111111111111114,0.024444444444444446,0.3022222222222222,0.7204002375800108,0.1972424596924553,0.7008450441572145,0.38408344552445994
