target_view,montage,held_out_reference,method,class_index,class_name,car_recall,target_recall,absolute_recall_gap
native16@FC3,native16,fc3,logit_ridge,2,both_fists,0.4857142857142857,0.3380952380952381,0.1476190476190476
native16@FC3,native16,fc3,logit_ridge,3,both_feet,0.4106280193236715,0.43478260869565216,0.024154589371980673
native16@FC3,native16,fc3,combined_ridge,0,left_fist,0.4523809523809524,0.4714285714285714,0.019047619047619035
native16@FC3,native16,fc3,combined_ridge,1,right_fist,0.34299516908212563,0.3961352657004831,0.053140096618357446
native16@FC3,native16,fc3,combined_ridge,2,both_fists,0.4857142857142857,0.34285714285714286,0.14285714285714285
native16@FC3,native16,fc3,combined_ridge,3,both_feet,0.4106280193236715,0.42028985507246375,0.009661835748792258
native16@FC3,native16,fc3,oracle,0,left_fist,0.4523809523809524,0.4857142857142857,0.033333333333333326
native16@FC3,native16,fc3,oracle,1,right_fist,0.34299516908212563,0.42995169082125606,0.08695652173913043
native16@FC3,native16,fc3,oracle,2,both_fists,0.4857142857142857,0.3142857142857143,0.17142857142857143
native16@FC3,native16,fc3,oracle,3,both_feet,0.4106280193236715,0.3961352657004831,0.014492753623188415
native16@FC4,native16,fc4,identity,0,left_fist,0.7904761904761904,0.9428571428571428,0.1523809523809524
native16@FC4,native16,fc4,identity,1,right_fist,0.6135265700483091,0.3188405797101449,0.2946859903381642
native16@FC4,native16,fc4,identity,2,both_fists,0.004761904761904762,0.0,0.004761904761904762
native16@FC4,native16,fc4,identity,3,both_feet,0.01932367149758454,0.03864734299516908,0.01932367149758454
native16@FC4,native16,fc4,global_mean,0,left_fist,0.4523809523809524,0.7666666666666667,0.31428571428571433
native16@FC4,native16,fc4,global_mean,1,right_fist,0.34299516908212563,0.28019323671497587,0.06280193236714976
native16@FC4,native16,fc4,global_mean,2,both_fists,0.4857142857142857,0.12857142857142856,0.35714285714285715
native16@FC4,native16,fc4,global_mean,3,both_feet,0.4106280193236715,0.18840579710144928,0.2222222222222222
native16@FC4,native16,fc4,pooled_bias,0,left_fist,0.4523809523809524,0.7619047619047619,0.3095238095238095
native16@FC4,native16,fc4,pooled_bias,1,right_fist,0.34299516908212563,0.28019323671497587,0.06280193236714976
