target_view,montage,held_out_reference,method,n_bias_fit_subjects,n_evaluation_subjects,n_training_views,target_reference_labels_used,target_bias_rmse,car_anchor_balanced_accuracy,max_class_recall_gap_to_car,mean_class_recall_gap_to_car,prediction_disagreement_from_identity,accuracy,balanced_accuracy,macro_f1,macro_auroc_ovr,nll,ece_15,worst_class_recall
native32@Cz,native32,cz,global_mean,10,9,48,False,0.1277709758696313,0.5127329192546584,0.07142857142857145,0.05034506556245687,0.3764988009592326,0.4892086330935252,0.4889579020013803,0.48931112299515644,0.7446637108071605,1.428399113257322,0.21655332871008343,0.3904761904761905
native32@Cz,native32,cz,pooled_bias,10,9,48,False,0.17267110187700968,0.5127329192546584,0.080952380952381,0.04437543133195307,0.3908872901678657,0.4904076738609113,0.4900966183574879,0.489294063828969,0.7443374331353451,1.4442659761560985,0.22261070888387235,0.38095238095238093
native32@Cz,native32,cz,topology_ridge,10,9,48,False,0.09787921502061615,0.5127329192546584,0.05714285714285716,0.028761214630779852,0.37410071942446044,0.486810551558753,0.4863526570048309,0.48482565918565973,0.7447686268409952,1.4225036295212192,0.22237641779523595,0.3961352657004831
native32@Cz,native32,cz,logit_ridge,10,9,48,False,0.016153854984983385,0.5127329192546584,0.03381642512077293,0.018046928916494134,0.35251798561151076,0.4952038369304556,0.49468599033816424,0.4944708587664012,0.745365437252594,1.4058003858054948,0.2120987184595741,0.3961352657004831
native32@Cz,native32,cz,combined_ridge,10,9,48,False,0.027098951130357044,0.5127329192546584,0.03381642512077293,0.018046928916494134,0.354916067146283,0.4952038369304556,0.49468599033816424,0.4942481702585053,0.7452272287262276,1.409955469304025,0.21618512618578756,0.3961352657004831
native32@Cz,native32,cz,oracle,10,9,48,True,0.0,0.5127329192546584,0.03381642512077293,0.015631469979296056,0.35611510791366907,0.49760191846522783,0.4971014492753623,0.4973191041802956,0.7453063685615173,1.407549070181189,0.21347274624943602,0.4057971014492754
native32@F1,native32,f1,identity,10,9,49,False,1.431731176370675,0.4616459627329193,0.1857142857142857,0.09580745341614906,0.0,0.40167865707434053,0.40207039337474126,0.35117597788096966,0.7299974384142005,1.562138511716152,0.28774306931710536,0.05238095238095238
native32@F1,native32,f1,global_mean,10,9,49,False,0.2525341612828289,0.5127329192546584,0.13809523809523805,0.05741890959282263,0.41007194244604317,0.47721822541966424,0.4769496204278813,0.4797095528060531,0.7343351975753292,1.354039770530066,0.18810883510225423,0.3671497584541063
native32@F1,native32,f1,pooled_bias,10,9,49,False,0.2023227502047337,0.5127329192546584,0.12380952380952381,0.05388198757763979,0.42326139088729015,0.473621103117506,0.47334368530020704,0.47555079265966893,0.7343027279526135,1.361791380536393,0.1946045208038322,0.357487922705314
native32@F1,native32,f1,topology_ridge,10,9,49,False,0.0828856501373252,0.5127329192546584,0.106280193236715,0.037301587301587294,0.46882494004796166,0.4784172661870504,0.47781228433402345,0.4781292487323574,0.7354294879573771,1.3816839529420637,0.2072402342038662,0.30917874396135264
