condition,batch_size,method,n_rows,n_target_views,n_repeats,mean_target_bias_rmse,p90_target_bias_rmse,worst_target_bias_rmse,mean_balanced_accuracy,worst_balanced_accuracy,mean_max_class_recall_gap,worst_class_recall_gap,mean_class_recall_gap,mean_nll,mean_ece_15
skew_0.4_class_0,128,fixed_topology_shrinkage,960,48,20,0.22988969875230356,0.3784720072978494,0.5640232780664693,0.42835373174028063,0.36088681849551413,0.17306892684610078,0.35714285714285715,0.0863829760466989,1.3813117033396505,0.15337023243756087
skew_0.4_class_0,128,identity,48,48,1,0.413123277298423,0.6288260245727649,1.0659993797060883,0.4130323355187486,0.33852657004830916,0.16855877616747184,0.30476190476190473,0.08109651771336554,1.5058124914662494,0.20060680346733806
skew_0.4_class_0,128,operator_confusion_shrinkage,960,48,20,0.1973115529847241,0.3235941902045381,0.5072181735247405,0.4282753012134805,0.360904071773637,0.16989302967563838,0.35714285714285715,0.08462634072348747,1.3839960797312298,0.15376954445785065
skew_0.4_class_0,128,oracle,48,48,1,0.0,0.0,0.0,0.42655926501035196,0.37412008281573506,0.09481107660455489,0.2285714285714286,0.0502343570278353,1.4089779624885292,0.15946308214154634
skew_0.4_class_0,128,topology_ridge,48,48,1,0.14234403863581777,0.24290276779349054,0.5350815889232995,0.4237800494593973,0.3684265010351967,0.11733523119392686,0.3380952380952381,0.0623181216931217,1.4170207969472983,0.1645716796456247
skew_0.4_class_0,128,uniform_prior_match,960,48,20,0.3253594009165303,0.5455206692378715,0.7345667142289751,0.4263460612203819,0.35833333333333334,0.2173544254658385,0.4095238095238095,0.1069464393547274,1.3781945773825945,0.15459577689111847
skew_0.4_class_1,128,fixed_topology_shrinkage,960,48,20,0.3004222406020147,0.4896742127314619,0.6737755580947936,0.42791495931101914,0.35967908902691514,0.18021458764665288,0.3761904761904762,0.09420485751667819,1.3808689379636627,0.15451914147929857
skew_0.4_class_1,128,identity,48,48,1,0.413123277298423,0.6288260245727649,1.0659993797060883,0.4130323355187486,0.33852657004830916,0.16855877616747184,0.30476190476190473,0.08109651771336554,1.5058124914662494,0.20060680346733806
skew_0.4_class_1,128,operator_confusion_shrinkage,960,48,20,0.251791548453764,0.41120752986195497,0.5964113371737625,0.42811711021969173,0.36092132505175983,0.17492106625258802,0.37142857142857144,0.09012409779733149,1.3821390328312406,0.15446081437306933
skew_0.4_class_1,128,oracle,48,48,1,0.0,0.0,0.0,0.42655926501035196,0.37412008281573506,0.09481107660455489,0.2285714285714286,0.0502343570278353,1.4089779624885292,0.15946308214154634
skew_0.4_class_1,128,topology_ridge,48,48,1,0.14234403863581777,0.24290276779349054,0.5350815889232995,0.4237800494593973,0.3684265010351967,0.11733523119392686,0.3380952380952381,0.0623181216931217,1.4170207969472983,0.1645716796456247
skew_0.4_class_1,128,uniform_prior_match,960,48,20,0.429807696139919,0.7011749183913019,0.918226243600722,0.4251075813779618,0.3595238095238095,0.22770998677248677,0.4523809523809524,0.11917076432022085,1.3838259250781888,0.1576631545847755
skew_0.4_class_2,128,fixed_topology_shrinkage,960,48,20,0.2935807357496138,0.47188865486592735,0.6234345272075383,0.42777154143662294,0.3632850241545894,0.18637206694271916,0.4,0.09445632404531862,1.3777964582110884,0.15373022424912078
skew_0.4_class_2,128,identity,48,48,1,0.413123277298423,0.6288260245727649,1.0659993797060883,0.4130323355187486,0.33852657004830916,0.16855877616747184,0.30476190476190473,0.08109651771336554,1.5058124914662494,0.20060680346733806
skew_0.4_class_2,128,operator_confusion_shrinkage,960,48,20,0.2505252663014718,0.40076252461008843,0.5382605932490605,0.42785304520358863,0.3621290545203589,0.18209512307338394,0.40476190476190477,0.09144363210259951,1.3793895653887998,0.15340905099340443
skew_0.4_class_2,128,oracle,48,48,1,0.0,0.0,0.0,0.42655926501035196,0.37412008281573506,0.09481107660455489,0.2285714285714286,0.0502343570278353,1.4089779624885292,0.15946308214154634
skew_0.4_class_2,128,topology_ridge,48,48,1,0.14234403863581777,0.24290276779349054,0.5350815889232995,0.4237800494593973,0.3684265010351967,0.11733523119392686,0.3380952380952381,0.0623181216931217,1.4170207969472983,0.1645716796456247
skew_0.4_class_2,128,uniform_prior_match,960,48,20,0.419271782287468,0.6756293685789634,0.8869233807156662,0.4248288331032896,0.359472049689441,0.23708218311479182,0.4428571428571429,0.11867289941338856,1.3785074626734821,0.1566073120968031
skew_0.4_class_3,128,fixed_topology_shrinkage,960,48,20,0.2727415105927115,0.45081647549225823,0.6926470046297598,0.42806504485852315,0.35845410628019325,0.17558495801702326,0.3904761904761905,0.08836320307108352,1.3789323006447036,0.1532117552435932
skew_0.4_class_3,128,identity,48,48,1,0.413123277298423,0.6288260245727649,1.0659993797060883,0.4130323355187486,0.33852657004830916,0.16855877616747184,0.30476190476190473,0.08109651771336554,1.5058124914662494,0.20060680346733806
skew_0.4_class_3,128,operator_confusion_shrinkage,960,48,20,0.23100497260328245,0.3884568613656777,0.60100439748499,0.427934009805613,0.3596618357487923,0.1717812571888659,0.3761904761904762,0.08559550767770878,1.3808418167788394,0.153333078764244
skew_0.4_class_3,128,oracle,48,48,1,0.0,0.0,0.0,0.42655926501035196,0.37412008281573506,0.09481107660455489,0.2285714285714286,0.0502343570278353,1.4089779624885292,0.15946308214154634
skew_0.4_class_3,128,topology_ridge,48,48,1,0.14234403863581777,0.24290276779349054,0.5350815889232995,0.4237800494593973,0.3684265010351967,0.11733523119392686,0.3380952380952381,0.0623181216931217,1.4170207969472983,0.1645716796456247
skew_0.4_class_3,128,uniform_prior_match,960,48,20,0.3885715100254845,0.6435785228524588,0.9838086599943783,0.425409298079135,0.35719461697722565,0.2211978088336784,0.4285714285714286,0.11032932194616979,1.378365966380374,0.15537436437541868
skew_0.7_class_0,128,fixed_topology_shrinkage,960,48,20,0.1467384323025462,0.24813069657517553,0.4091377368431654,0.4282592520703934,0.36576949620427884,0.15446687370600415,0.3238095238095238,0.07591388457556937,1.3912964226781301,0.15361044482296773
skew_0.7_class_0,128,identity,48,48,1,0.413123277298423,0.6288260245727649,1.0659993797060883,0.4130323355187486,0.33852657004830916,0.16855877616747184,0.30476190476190473,0.08109651771336554,1.5058124914662494,0.20060680346733806
skew_0.7_class_0,128,operator_confusion_shrinkage,960,48,20,0.13327062253232197,0.22137593442248488,0.35396901628274086,0.4278105410340464,0.3645272601794341,0.15354756153669197,0.3238095238095238,0.07574309509431792,1.3942787874714297,0.15450121464185582
skew_0.7_class_0,128,oracle,48,48,1,0.0,0.0,0.0,0.42655926501035196,0.37412008281573506,0.09481107660455489,0.2285714285714286,0.0502343570278353,1.4089779624885292,0.15946308214154634
skew_0.7_class_0,128,topology_ridge,48,48,1,0.14234403863581777,0.24290276779349054,0.5350815889232995,0.4237800494593973,0.3684265010351967,0.11733523119392686,0.3380952380952381,0.0623181216931217,1.4170207969472983,0.1645716796456247
skew_0.7_class_0,128,uniform_prior_match,960,48,20,0.20027318168675892,0.33312789149164934,0.5797303682659961,0.42728595151828846,0.36092132505175983,0.1870692431561997,0.3666666666666667,0.09026534103979757,1.3869817990792421,0.1532986339094829
skew_0.7_class_1,128,fixed_topology_shrinkage,960,48,20,0.40593981056393436,0.6201767246931721,0.770780426866424,0.425634525247297,0.36086956521739133,0.19548675810904073,0.4,0.1065335288704854,1.3820900155422988,0.15721684436577135
skew_0.7_class_1,128,identity,48,48,1,0.413123277298423,0.6288260245727649,1.0659993797060883,0.4130323355187486,0.33852657004830916,0.16855877616747184,0.30476190476190473,0.08109651771336554,1.5058124914662494,0.20060680346733806
skew_0.7_class_1,128,operator_confusion_shrinkage,960,48,20,0.34096118708782114,0.5196806135395041,0.6892785371791226,0.4270062686910513,0.36088681849551413,0.1866527202668507,0.3952380952380953,0.09911282206119164,1.3805137589435512,0.15577801847305028
skew_0.7_class_1,128,oracle,48,48,1,0.0,0.0,0.0,0.42655926501035196,0.37412008281573506,0.09481107660455489,0.2285714285714286,0.0502343570278353,1.4089779624885292,0.15946308214154634
skew_0.7_class_1,128,topology_ridge,48,48,1,0.14234403863581777,0.24290276779349054,0.5350815889232995,0.4237800494593973,0.3684265010351967,0.11733523119392686,0.3380952380952381,0.0623181216931217,1.4170207969472983,0.1645716796456247
skew_0.7_class_1,128,uniform_prior_match,960,48,20,0.5875798431146053,0.8846150458342575,1.0825165001881565,0.4210171706061652,0.35829882677708763,0.25245248159650335,0.48095238095238096,0.13954866502760527,1.3970826893468251,0.1636969856875781
skew_0.7_class_2,128,fixed_topology_shrinkage,960,48,20,0.2802635070374231,0.45070395124942775,0.6229584485875928,0.4278737671095008,0.3609558316080055,0.20016512824936739,0.41904761904761906,0.09994523881412469,1.3765920746780083,0.15286814117319344
skew_0.7_class_2,128,identity,48,48,1,0.413123277298423,0.6288260245727649,1.0659993797060883,0.4130323355187486,0.33852657004830916,0.16855877616747184,0.30476190476190473,0.08109651771336554,1.5058124914662494,0.20060680346733806
skew_0.7_class_2,128,operator_confusion_shrinkage,960,48,20,0.24335140768898367,0.3880916399268414,0.5380257099180298,0.42742728462157814,0.36093857832988263,0.19620485392224524,0.40476190476190477,0.09750679347826088,1.378775756057867,0.1532957132925587
skew_0.7_class_2,128,oracle,48,48,1,0.0,0.0,0.0,0.42655926501035196,0.37412008281573506,0.09481107660455489,0.2285714285714286,0.0502343570278353,1.4089779624885292,0.15946308214154634
skew_0.7_class_2,128,topology_ridge,48,48,1,0.14234403863581777,0.24290276779349054,0.5350815889232995,0.4237800494593973,0.3684265010351967,0.11733523119392686,0.3380952380952381,0.0623181216931217,1.4170207969472983,0.1645716796456247
skew_0.7_class_2,128,uniform_prior_match,960,48,20,0.39910095637076837,0.6356936278120429,0.8851504547533352,0.42490846776512536,0.35950655624568667,0.2553132907752473,0.4428571428571429,0.12471745959857375,1.3757478882270098,0.15628989696258216
skew_0.7_class_3,128,fixed_topology_shrinkage,960,48,20,0.27435051874041466,0.4502006869199438,0.6138769970646917,0.4271852714515758,0.35964458247066944,0.17412238325281804,0.37142857142857144,0.08592488354037268,1.3767230710138219,0.152915231878041
skew_0.7_class_3,128,identity,48,48,1,0.413123277298423,0.6288260245727649,1.0659993797060883,0.4130323355187486,0.33852657004830916,0.16855877616747184,0.30476190476190473,0.08109651771336554,1.5058124914662494,0.20060680346733806
skew_0.7_class_3,128,operator_confusion_shrinkage,960,48,20,0.2346010037097702,0.38414468614723185,0.5720790338695457,0.42734527763400043,0.35964458247066944,0.17002645502645505,0.3666666666666667,0.08341278827352198,1.3787484442104476,0.1528374070597781
skew_0.7_class_3,128,oracle,48,48,1,0.0,0.0,0.0,0.42655926501035196,0.37412008281573506,0.09481107660455489,0.2285714285714286,0.0502343570278353,1.4089779624885292,0.15946308214154634
skew_0.7_class_3,128,topology_ridge,48,48,1,0.14234403863581777,0.24290276779349054,0.5350815889232995,0.4237800494593973,0.3684265010351967,0.11733523119392686,0.3380952380952381,0.0623181216931217,1.4170207969472983,0.1645716796456247
skew_0.7_class_3,128,uniform_prior_match,960,48,20,0.39110654083586344,0.6419127409427006,0.8711488615237214,0.4246214163503566,0.3583850931677019,0.21991488382792732,0.4523809523809524,0.10641899226478031,1.374856590378183,0.15502290618165523
