condition,batch_size,repeat,stress_construction_uses_labels,target_view,montage,held_out_reference,method,target_reference_labels_used,target_unlabeled_logits_used,prior_match_weight,accuracy,balanced_accuracy,nll,ece_15,worst_class_recall,car_anchor_balanced_accuracy,target_bias_rmse,max_class_recall_gap_to_car,mean_class_recall_gap_to_car
random,32,14,False,native16@Pz,native16,pz,uniform_prior_match,False,True,,0.4136690647482014,0.41371635610766044,1.4076364753100974,0.13805846127325688,0.40476190476190477,0.41363008971704623,0.1394633068563871,0.014492753623188415,0.011991028295376127
random,32,14,False,native16@Pz,native16,pz,fixed_topology_shrinkage,False,True,0.30043451894572315,0.4184652278177458,0.418616287094548,1.4219901703799855,0.1337858619010464,0.3526570048309179,0.41363008971704623,0.04871059032985805,0.12560386473429952,0.060196687370600424
random,32,14,False,native16@Pz,native16,pz,operator_confusion_shrinkage,False,True,0.30043451894572315,0.407673860911271,0.4077984817115252,1.4228469565177022,0.14457168592315894,0.32367149758454106,0.41363008971704623,0.05311223460766624,0.12560386473429952,0.06863354037267082
random,32,14,False,native32@C1,native32,c1,uniform_prior_match,False,True,,0.4304556354916067,0.43031400966183575,1.4063146227439434,0.1793827413668843,0.3526570048309179,0.4514147688060731,0.4426739650520585,0.20000000000000007,0.10788474810213944
random,32,14,False,native32@C1,native32,c1,fixed_topology_shrinkage,False,True,0.29646921433364815,0.44364508393285373,0.4432194616977226,1.420482450082341,0.1776566904916942,0.34299516908212563,0.4514147688060731,0.1093248382352761,0.0714285714285714,0.027518978605935135
random,32,14,False,native32@C1,native32,c1,operator_confusion_shrinkage,False,True,0.29646921433364815,0.44244604316546765,0.4419944789510007,1.4252761690800348,0.16802553350216012,0.3333333333333333,0.4514147688060731,0.07283164792508566,0.05714285714285716,0.02391304347826087
random,32,14,False,native32@C2,native32,c2,uniform_prior_match,False,True,,0.4676258992805755,0.46749482401656317,1.362947710322952,0.13643469739704575,0.3904761904761905,0.4514147688060731,0.26163766919965026,0.16908212560386476,0.08274672187715666
random,32,14,False,native32@C2,native32,c2,fixed_topology_shrinkage,False,True,0.2988180741459333,0.46882494004796166,0.46854727398205664,1.3799749211576307,0.14237311437691128,0.38571428571428573,0.4514147688060731,0.11939664005941522,0.106280193236715,0.059989648033126314
random,32,14,False,native32@C2,native32,c2,operator_confusion_shrinkage,False,True,0.2988180741459333,0.4676258992805755,0.4673740510697032,1.3826568672194495,0.14694182694817703,0.38095238095238093,0.4514147688060731,0.10877176923260544,0.10144927536231885,0.061197377501725325
random,32,14,False,native32@C3,native32,c3,uniform_prior_match,False,True,,0.42326139088729015,0.4230848861283644,1.4043699219022974,0.18040851811971137,0.33816425120772947,0.4514147688060731,0.6118407412355372,0.2523809523809524,0.13409247757073844
random,32,14,False,native32@C3,native32,c3,fixed_topology_shrinkage,False,True,0.29441734956794763,0.4292565947242206,0.42881297446514843,1.412832212185622,0.1883355898888428,0.32367149758454106,0.4514147688060731,0.13101022006901766,0.08571428571428574,0.025017253278122847
random,32,14,False,native32@C3,native32,c3,operator_confusion_shrinkage,False,True,0.29441734956794763,0.42326139088729015,0.42282608695652174,1.4188345342881552,0.19119646582675132,0.3140096618357488,0.4514147688060731,0.11685857747437348,0.08571428571428574,0.028588681849551406
random,32,14,False,native32@C4,native32,c4,uniform_prior_match,False,True,,0.4520383693045564,0.45182884748102137,1.3514438848407662,0.15274549558018136,0.41545893719806765,0.4514147688060731,0.42237158061587043,0.20952380952380956,0.10517598343685303
random,32,14,False,native32@C4,native32,c4,fixed_topology_shrinkage,False,True,0.29641662052126505,0.4568345323741007,0.45652173913043476,1.3755152291092898,0.15317087860350767,0.3864734299516908,0.4514147688060731,0.19468314473463752,0.13809523809523816,0.0741545893719807
random,32,14,False,native32@C4,native32,c4,operator_confusion_shrinkage,False,True,0.29641662052126505,0.4592326139088729,0.4589544513457557,1.3778097948711472,0.1492493013769429,0.391304347826087,0.4514147688060731,0.176027027729491,0.13809523809523816,0.07658730158730162
random,32,14,False,native32@C5,native32,c5,uniform_prior_match,False,True,,0.39928057553956836,0.39986197377501725,1.4607904360960768,0.2180193723166967,0.28019323671497587,0.4514147688060731,0.40449018872472015,0.3761904761904762,0.23271221532091096
random,32,14,False,native32@C5,native32,c5,fixed_topology_shrinkage,False,True,0.3026746119715725,0.40167865707434053,0.40165631469979296,1.3838503806096722,0.19531778794063348,0.29523809523809524,0.4514147688060731,0.1377020375886381,0.20000000000000007,0.12463768115942031
random,32,14,False,native32@C5,native32,c5,operator_confusion_shrinkage,False,True,0.3026746119715725,0.40167865707434053,0.4016390614216701,1.3863690292157191,0.19396593263353912,0.2904761904761905,0.4514147688060731,0.10123145830962814,0.19047619047619047,0.11982401656314699
random,32,14,False,native32@C6,native32,c6,uniform_prior_match,False,True,,0.447242206235012,0.44694616977225676,1.3840430573701625,0.16681171856711943,0.38164251207729466,0.4514147688060731,0.6041721085330164,0.20000000000000007,0.11002415458937202
random,32,14,False,native32@C6,native32,c6,fixed_topology_shrinkage,False,True,0.29774457860207015,0.44364508393285373,0.4433057280883368,1.3938693954383001,0.16533089414439103,0.34299516908212563,0.4514147688060731,0.23573856328645423,0.16190476190476188,0.07284334023464459
random,32,14,False,native32@C6,native32,c6,operator_confusion_shrinkage,False,True,0.29774457860207015,0.44244604316546765,0.4421497584541063,1.397610583371548,0.16605744719948476,0.34782608695652173,0.4514147688060731,0.20042989983473034,0.16666666666666663,0.07406832298136647
random,32,14,False,native32@CP1,native32,cp1,uniform_prior_match,False,True,,0.4628297362110312,0.462663906142167,1.3917182003418345,0.16138344076173416,0.38571428571428573,0.4514147688060731,0.32859470331108215,0.16908212560386476,0.08519668737060042
random,32,14,False,native32@CP1,native32,cp1,fixed_topology_shrinkage,False,True,0.3013697095236222,0.46522781774580335,0.46504485852311944,1.3914611711763616,0.15659707487314237,0.37142857142857144,0.4514147688060731,0.15775711110058036,0.1449275362318841,0.06601104209799863
random,32,14,False,native32@CP1,native32,cp1,operator_confusion_shrinkage,False,True,0.3013697095236222,0.46642685851318944,0.4662525879917184,1.3933475216723479,0.15947909477842936,0.36666666666666664,0.4514147688060731,0.1401705891925344,0.1449275362318841,0.06483781918564527
random,32,14,False,native32@CP2,native32,cp2,uniform_prior_match,False,True,,0.47601918465227816,0.47600069013112495,1.3676444587563767,0.13598672612348514,0.4,0.4514147688060731,0.31203644558455734,0.2222222222222222,0.1055728088336784
random,32,14,False,native32@CP2,native32,cp2,fixed_topology_shrinkage,False,True,0.2982058552805805,0.4784172661870504,0.47827812284334026,1.3712389776254081,0.12892345764935875,0.38571428571428573,0.4514147688060731,0.15521882975542917,0.17874396135265702,0.07924430641821946
random,32,14,False,native32@CP2,native32,cp2,operator_confusion_shrinkage,False,True,0.2982058552805805,0.47961630695443647,0.47946859903381644,1.3728811685815177,0.1288562777608306,0.38571428571428573,0.4514147688060731,0.1387519454548516,0.17391304347826092,0.07805383022774329
random,32,14,False,native32@CP3,native32,cp3,uniform_prior_match,False,True,,0.43764988009592326,0.4372153209109731,1.4193004388844939,0.18679481401788575,0.34299516908212563,0.4514147688060731,0.37217643127672717,0.09178743961352659,0.06009316770186336
random,32,14,False,native32@CP3,native32,cp3,fixed_topology_shrinkage,False,True,0.2954133501355909,0.4316546762589928,0.4310386473429952,1.44253978996176,0.19585625999819928,0.26570048309178745,0.4514147688060731,0.07443425698679754,0.053140096618357446,0.02762249827467217
random,32,14,False,native32@CP3,native32,cp3,operator_confusion_shrinkage,False,True,0.2954133501355909,0.43285371702637887,0.4322463768115942,1.449071392040866,0.19478659029350082,0.26570048309178745,0.4514147688060731,0.06421195807828436,0.053140096618357446,0.02883022774327121
random,32,14,False,native32@CP4,native32,cp4,uniform_prior_match,False,True,,0.46642685851318944,0.4662353347135956,1.3681540762673337,0.14614099119606777,0.40096618357487923,0.4514147688060731,0.2757191055801835,0.1594202898550725,0.08869910282953763
random,32,14,False,native32@CP4,native32,cp4,fixed_topology_shrinkage,False,True,0.30102861405994147,0.4616306954436451,0.46135265700483097,1.3767669259240438,0.14569260568271053,0.38571428571428573,0.4514147688060731,0.13112639359748637,0.09999999999999998,0.05993788819875778
random,32,14,False,native32@CP4,native32,cp4,operator_confusion_shrinkage,False,True,0.30102861405994147,0.4592326139088729,0.4589717046238786,1.3786142401911394,0.1481235154028275,0.38095238095238093,0.4514147688060731,0.11814615211639803,0.10476190476190472,0.05993788819875777
random,32,14,False,native32@CP5,native32,cp5,uniform_prior_match,False,True,,0.43884892086330934,0.43859558316080055,1.3925696276740482,0.1617836584158445,0.34782608695652173,0.4514147688060731,0.3414485110377698,0.17142857142857149,0.10429606625258801
random,32,14,False,native32@CP5,native32,cp5,fixed_topology_shrinkage,False,True,0.2917763268981642,0.4352517985611511,0.4347135955831608,1.3851902706894936,0.16240193123616462,0.2995169082125604,0.4514147688060731,0.16280189841806816,0.0714285714285714,0.028674948240165615
random,32,14,False,native32@CP5,native32,cp5,operator_confusion_shrinkage,False,True,0.2917763268981642,0.43764988009592326,0.43714630779848174,1.389312855045584,0.16033760157216773,0.2995169082125604,0.4514147688060731,0.16056421279930688,0.0714285714285714,0.031107660455486533
random,32,14,False,native32@CP6,native32,cp6,uniform_prior_match,False,True,,0.46402877697841727,0.4640269151138717,1.3711057870350667,0.13885178943752288,0.3671497584541063,0.4514147688060731,0.745687245007293,0.2523809523809524,0.16054175293305728
random,32,14,False,native32@CP6,native32,cp6,fixed_topology_shrinkage,False,True,0.2985734018130815,0.44844124700239807,0.44817115251897865,1.3763978968234558,0.15477099019519736,0.4106280193236715,0.4514147688060731,0.27028012830686304,0.15714285714285714,0.07532781228433404
random,32,14,False,native32@CP6,native32,cp6,operator_confusion_shrinkage,False,True,0.2985734018130815,0.447242206235012,0.4470151828847481,1.381317953119633,0.15621418759205208,0.40096618357487923,0.4514147688060731,0.2324451630747207,0.16190476190476188,0.07655279503105591
random,32,14,False,native32@CPz,native32,cpz,uniform_prior_match,False,True,,0.4676258992805755,0.4675810904071773,1.3790020104696958,0.14116145224501914,0.3952380952380952,0.4514147688060731,0.2803764835750622,0.20772946859903385,0.10436507936507937
random,32,14,False,native32@CPz,native32,cpz,fixed_topology_shrinkage,False,True,0.3025175667639092,0.47002398081534774,0.469927536231884,1.3799282575569156,0.13683765198885356,0.3952380952380952,0.4514147688060731,0.12603769230066264,0.15458937198067635,0.08994133885438235
random,32,14,False,native32@CPz,native32,cpz,operator_confusion_shrinkage,False,True,0.3025175667639092,0.4712230215827338,0.47111801242236023,1.381790553802025,0.1346024090899579,0.3952380952380952,0.4514147688060731,0.11127491901662424,0.14975845410628025,0.08875086266390617
random,32,14,False,native32@Cz,native32,cz,uniform_prior_match,False,True,,0.46522781774580335,0.4649930986887508,1.4063781646375575,0.14832024591443518,0.34782608695652173,0.4514147688060731,0.4404132119548938,0.19806763285024154,0.09736024844720496
random,32,14,False,native32@Cz,native32,cz,fixed_topology_shrinkage,False,True,0.29750139152450167,0.45443645083932854,0.45400276052449967,1.4111235229201373,0.15500952786525155,0.35714285714285715,0.4514147688060731,0.10697244459243888,0.043478260869565244,0.026397515527950333
random,32,14,False,native32@Cz,native32,cz,operator_confusion_shrinkage,False,True,0.29750139152450167,0.45323741007194246,0.4527777777777778,1.4163262203639069,0.15672685175660378,0.3526570048309179,0.4514147688060731,0.09421974422048432,0.03809523809523807,0.022791580400276054
random,32,14,False,native32@F1,native32,f1,uniform_prior_match,False,True,,0.41606714628297364,0.41594202898550725,1.4445117754496337,0.19386933733294534,0.3719806763285024,0.4514147688060731,0.3285565606631955,0.22380952380952385,0.09575569358178056
random,32,14,False,native32@F1,native32,f1,fixed_topology_shrinkage,False,True,0.2783905985983318,0.4184652278177458,0.41821946169772256,1.4223852556064098,0.18296778037233574,0.3333333333333333,0.4514147688060731,0.31193444591263797,0.22380952380952385,0.07870945479641134
random,32,14,False,native32@F1,native32,f1,operator_confusion_shrinkage,False,True,0.2783905985983318,0.4184652278177458,0.41820220841959976,1.4237822680763277,0.18303738295631367,0.3285024154589372,0.4514147688060731,0.2945562952771777,0.2142857142857143,0.07393029675638373
random,32,14,False,native32@F2,native32,f2,uniform_prior_match,False,True,,0.4316546762589928,0.4315734989648033,1.380221951844199,0.16624813430394558,0.37681159420289856,0.4514147688060731,0.42544437922815026,0.27142857142857146,0.13278122843340234
random,32,14,False,native32@F2,native32,f2,fixed_topology_shrinkage,False,True,0.2992782221666478,0.4292565947242206,0.4289337474120083,1.4071329870717284,0.16935226254595848,0.3671497584541063,0.4514147688060731,0.11841952723377516,0.15714285714285714,0.060921325051759845
random,32,14,False,native32@F2,native32,f2,operator_confusion_shrinkage,False,True,0.2992782221666478,0.4304556354916067,0.4301242236024845,1.4098462325795256,0.16900349952407523,0.36231884057971014,0.4514147688060731,0.09130688355660804,0.14761904761904765,0.05493443754313321
random,32,14,False,native32@F3,native32,f3,uniform_prior_match,False,True,,0.4148681055155875,0.4148205659075224,1.4627671677557952,0.1964543464282101,0.38095238095238093,0.4514147688060731,0.15600590105787288,0.2523809523809524,0.10408902691511387
random,32,14,False,native32@F3,native32,f3,fixed_topology_shrinkage,False,True,0.28175793301775587,0.4172661870503597,0.41716701173222914,1.4375425719457016,0.190829253042948,0.40096618357487923,0.4514147688060731,0.247364958871156,0.3047619047619048,0.12054865424430643
random,32,14,False,native32@F3,native32,f3,operator_confusion_shrinkage,False,True,0.28175793301775587,0.4172661870503597,0.417184265010352,1.4374766185558736,0.18761423238293806,0.4057971014492754,0.4514147688060731,0.24049833543735386,0.3047619047619048,0.12056590752242928
random,32,14,False,native32@F4,native32,f4,uniform_prior_match,False,True,,0.4352517985611511,0.43519668737060035,1.3984090257841257,0.167489296231381,0.38164251207729466,0.4514147688060731,0.40187766915859174,0.24761904761904763,0.12208419599723949
random,32,14,False,native32@F4,native32,f4,fixed_topology_shrinkage,False,True,0.296529793877227,0.43285371702637887,0.43260869565217386,1.4179613437887553,0.17169182667404886,0.36666666666666664,0.4514147688060731,0.03035577125555975,0.14761904761904765,0.05500345065562458
random,32,14,False,native32@F4,native32,f4,operator_confusion_shrinkage,False,True,0.296529793877227,0.42805755395683454,0.42782953761214626,1.421785874093276,0.1758054041979733,0.35714285714285715,0.4514147688060731,0.011447955044837725,0.1523809523809524,0.054986197377501725
random,32,14,False,native32@FC1,native32,fc1,uniform_prior_match,False,True,,0.43884892086330934,0.43868184955141476,1.3641167592099768,0.15991161710651478,0.3719806763285024,0.4514147688060731,0.42770130865117006,0.2047619047619048,0.10897170462387856
random,32,14,False,native32@FC1,native32,fc1,fixed_topology_shrinkage,False,True,0.2966593862209204,0.43764988009592326,0.43718081435472733,1.3886325634629073,0.1747514319037834,0.3188405797101449,0.4514147688060731,0.09038146086145339,0.07619047619047625,0.023861283643892353
random,32,14,False,native32@FC1,native32,fc1,operator_confusion_shrinkage,False,True,0.2966593862209204,0.4364508393285372,0.4359903381642512,1.393200307384187,0.1762874213351377,0.3140096618357488,0.4514147688060731,0.057386672094624086,0.07619047619047625,0.02508626639061423
random,32,14,False,native32@FC2,native32,fc2,uniform_prior_match,False,True,,0.44364508393285373,0.4436162870945479,1.3681024511647943,0.15857609286389793,0.36666666666666664,0.4514147688060731,0.2522833220381985,0.18571428571428572,0.09230503795721187
random,32,14,False,native32@FC2,native32,fc2,fixed_topology_shrinkage,False,True,0.29656408971041626,0.4460431654676259,0.4458074534161491,1.401187710893362,0.16154176039620155,0.3380952380952381,0.4514147688060731,0.03596802618074328,0.09523809523809523,0.05391649413388544
random,32,14,False,native32@FC2,native32,fc2,operator_confusion_shrinkage,False,True,0.29656408971041626,0.4412470023980815,0.4410110420979986,1.4065306442891354,0.16600408858724433,0.32857142857142857,0.4514147688060731,0.0542431230809842,0.09523809523809523,0.05388198757763975
