held_out_reference,batch_size,prior_match_mse_from_source_subjects,nested_topology_mse,prior_match_weight,topology_weight,n_source_views,n_random_source_resamples,target_reference_labels_used
cp3,128,0.013535224115135545,0.02872313822903888,0.679703060783626,0.32029693921637403,46,20,False
cp3,256,0.006114351274074765,0.02872313822903888,0.8244893256866777,0.17551067431332235,46,20,False
cp3,450,5.745291217939832e-05,0.02872313822903888,0.9980037619138018,0.0019962380861981988,46,1,False
cp4,16,0.14335174962878325,0.029906335274530117,0.17261148471783777,0.8273885152821623,46,20,False
cp4,32,0.06944081605167272,0.029906335274530117,0.30102861405994147,0.6989713859400586,46,20,False
cp4,64,0.02251889705689891,0.029906335274530117,0.5704568953641281,0.42954310463587186,46,20,False
cp4,128,0.013613208381725651,0.029906335274530117,0.6871932185399007,0.3128067814600993,46,20,False
cp4,256,0.006140540404258167,0.029906335274530117,0.8296512447021434,0.17034875529785665,46,20,False
cp4,450,5.761726291405793e-05,0.029906335274530117,0.9980771140642392,0.001922885935760843,46,1,False
cp5,16,0.1424075371816299,0.028266195941249652,0.16561538453546865,0.8343846154645314,47,20,False
cp5,32,0.06861005252532017,0.028266195941249652,0.2917763268981642,0.7082236731018359,47,20,False
cp5,64,0.02236351851859264,0.028266195941249652,0.5582926201108521,0.4417073798891479,47,20,False
cp5,128,0.013478866798613027,0.028266195941249652,0.6771147073701257,0.3228852926298743,47,20,False
cp5,256,0.006054268590847981,0.028266195941249652,0.8235959602124316,0.17640403978756836,47,20,False
cp5,450,5.721254336639034e-05,0.028266195941249652,0.9979800261893809,0.0020199738106191356,47,1,False
cp6,16,0.14244932099503116,0.029265537958344252,0.17043101649281575,0.8295689835071842,47,20,False
cp6,32,0.06875236243274824,0.029265537958344252,0.2985734018130815,0.7014265981869185,47,20,False
cp6,64,0.02244671313275339,0.029265537958344252,0.5659304582735979,0.4340695417264021,47,20,False
cp6,128,0.013476599780683015,0.029265537958344252,0.6846999122278876,0.3153000877721124,47,20,False
cp6,256,0.006066392360629345,0.029265537958344252,0.8283028324277083,0.1716971675722917,47,20,False
cp6,450,5.7247099493152584e-05,0.029265537958344252,0.9980476922850188,0.0019523077149812273,47,1,False
cpz,16,0.14364952799568406,0.03005704947087439,0.1730334562412347,0.8269665437587653,46,20,False
cpz,32,0.06929932772202932,0.03005704947087439,0.3025175667639092,0.6974824332360908,46,20,False
cpz,64,0.022560068861256034,0.03005704947087439,0.5712408893460853,0.4287591106539147,46,20,False
cpz,128,0.013626270458984494,0.03005704947087439,0.688066967417682,0.31193303258231797,46,20,False
cpz,256,0.006118628662492519,0.03005704947087439,0.8308634702040607,0.1691365297959393,46,20,False
cpz,450,5.771259436539282e-05,0.03005704947087439,0.9980835779396043,0.0019164220603956617,46,1,False
cz,16,0.1454606795016534,0.029390121556475312,0.1680868567865734,0.8319131432134266,46,20,False
cz,32,0.06939974092406638,0.029390121556475312,0.29750139152450167,0.7024986084754983,46,20,False
