condition,batch_size,repeat,target_view,montage,held_out_reference,stress_construction_uses_labels,true_batch_prior_audit_only,soft_mean_prior,weak_confusion_prior,regularized_confusion_prior,soft_mean_prior_rmse,weak_confusion_prior_rmse,regularized_confusion_prior_rmse,uniform_bias_rmse,fixed_shrinkage_bias_rmse,soft_mean_shrinkage_bias_rmse,weak_confusion_shrinkage_bias_rmse,candidate_bias_rmse,prior_match_weight,topology_bias,uniform_bias,fixed_bias,candidate_bias,oracle_bias_audit_only,candidate_prior_displacement_from_nominal,candidate_update_norm_from_topology,target_reference_labels_used_for_candidate
balanced,128,6,native32@O2,native32,o2,True,"[0.25, 0.25, 0.25, 0.25]","[0.16300528081013532, 0.3582142523911624, 0.2971864747721876, 0.18159399202651474]","[0.10614570056242867, 0.41093793360263264, 0.28947116897926717, 0.1934451968556715]","[0.22866746488885084, 0.27239249544672667, 0.25514625162629817, 0.24379378803812432]",0.08090789657968565,0.11330434333934802,0.01598047151460957,0.49122425374131073,0.286478226152251,0.14259378198037506,0.408881586223349,0.1962639327389822,0.699841820423011,"[0.10834591519307801, 0.5656258442054444, -0.03820761976393322]","[0.9577829111031229, -0.08172277856675653, -0.5736571214075945]","[0.7028174487454175, 0.11258420559621823, -0.4129375737388272]","[0.5938391255210529, 0.23005278228683856, -0.3955083234348805]","[0.36544570539152094, 0.44400252110580146, -0.2627659082717237]",0.03196094302921914,0.6899106681330168,False
balanced,128,6,native32@P3,native32,p3,True,"[0.25, 0.25, 0.25, 0.25]","[0.20805821725036527, 0.3091136779497594, 0.2730082218878284, 0.20981988291204676]","[0.17206287715686264, 0.3391694546164029, 0.272321566536489, 0.21644610169024553]","[0.23839742140713102, 0.262376646259719, 0.252892010144428, 0.24633392218872208]",0.0430039537269732,0.06254898715822117,0.008797798756446653,0.6360848459363373,0.5287484168340223,0.32679644058528173,0.19935994972414914,0.4808109776939973,0.6758009220823168,"[0.45537057588506213, 0.16463786195228944, -0.2303356176547589]","[0.87046530413972, -0.15267499377393867, -0.4705718549492756]","[0.7358919759910687, -0.04980245853606868, -0.39268748833597955]","[0.6772240542557535, 0.013673223790157119, -0.3827505993651964]","[0.05094181040191685, 0.4714162907208187, -0.07979940771299647]",0.017595597512893305,0.30860916138441413,False
balanced,128,6,native32@P4,native32,p4,True,"[0.25, 0.25, 0.25, 0.25]","[0.17725172809125267, 0.3460878886046778, 0.2776223416081995, 0.19903804169587005]","[0.12405640613381075, 0.3886087926412458, 0.2812488140640732, 0.2060859871608702]","[0.2313848162165343, 0.2693081898134047, 0.25415887085089384, 0.24514812311916714]",0.06686798253335814,0.09744115549581935,0.013785573774637058,0.5331767777248764,0.3577859714515316,0.15634968583570805,0.28989589784456127,0.285339250448976,0.6844882982318163,"[0.26583013140815936, 0.8404464318535555, -0.12702203810501098]","[0.964490879190156, 0.20910375471287465, -0.40404177231917027]","[0.7440552376988265, 0.4082997571764118, -0.31663880455389093]","[0.6475911330077242, 0.5146861646718618, -0.3049294570709522]","[0.2556384519426801, 0.6918604776376015, -0.061541244185873645]",0.027571147549274116,0.5324586967453103,False
balanced,128,6,native32@PO3,native32,po3,True,"[0.25, 0.25, 0.25, 0.25]","[0.20209953002559128, 0.30748106081706533, 0.2699237432445547, 0.22049566591278846]","[0.1651816842701162, 0.34061015121584143, 0.2718675641005005, 0.22234060041354184]","[0.23751713509541958, 0.26267608798588815, 0.2528728508436629, 0.24693392607502937]",0.04143063073146826,0.06451274860790067,0.009140010997467439,0.5807247290748379,0.4591528962864591,0.24829996609340985,0.13733440099607308,0.40889417368822706,0.6816463258022647,"[0.33297591983588737, 0.1599445435343976, -0.22733586454621962]","[0.8597874327890286, -0.15679204713343387, -0.48010326902117045]","[0.6920750520307283, -0.05595778974146559, -0.3996338370891448]","[0.6279790135284335, 0.010693478758610736, -0.38942479698186583]","[0.11694437200689829, 0.38823313814576293, -0.07654984339285914]",0.018280021994934878,0.36820582239150806,False
balanced,128,6,native32@PO4,native32,po4,True,"[0.25, 0.25, 0.25, 0.25]","[0.1673456519998946, 0.3605632274378116, 0.28251608609627327, 0.18957503446602056]","[0.10824495496218567, 0.4073597463869669, 0.2853676614059045, 0.19902763724494285]","[0.22901883466069914, 0.2718968965000113, 0.2547067155956885, 0.24437755324360105]",0.07707859757998754,0.11034676684751481,0.015600067744680838,0.5267061299822263,0.3636501934457766,0.20047829708264248,0.36601210220672087,0.28924545778721084,0.6818462953397239,"[0.37173323541777537, 0.8553195313811127, -0.19736223866747307]","[0.9665793379296158, 0.14836009754299592, -0.46833419843011986]","[0.7773268467127474, 0.37328186046312417, -0.3821234655725785]","[0.6714795832213574, 0.4862615731765474, -0.36642791059256474]","[0.23545769634158073, 0.584100891260692, -0.13993025817597063]",0.031200135489361677,0.504613565968248,False
balanced,128,6,native32@Pz,native32,pz,True,"[0.25, 0.25, 0.25, 0.25]","[0.18436383191921984, 0.3255512784722977, 0.2719001972234347, 0.2181846923850477]","[0.13853958554151338, 0.36625944205085614, 0.2764187678951875, 0.218782204512443]","[0.23366431388034656, 0.2663038752717893, 0.25352719670462254, 0.24650461414324168]",0.05363752109341575,0.08308457123533333,0.011803917027396311,0.5848897072423521,0.42752970101865634,0.14219852657203289,0.11981117061937775,0.3590779287557293,0.6874380084401692,"[0.11341124915875253, 0.6268176891587146, -0.043687275264995884]","[0.8275386243711886, 0.18535322800619577, -0.30454767712280045]","[0.6043295497473951, 0.3233382391869146, -0.22301263039902727]","[0.520142426543219, 0.4139857298006606, -0.2135780896701068]","[0.07168925154242763, 0.7798959420924879, 0.014040765284339464]",0.023607834054792623,0.48947991010865244,False
balanced,128,7,native16@C1,native16,c1,True,"[0.25, 0.25, 0.25, 0.25]","[0.2153003415749552, 0.23743203653037992, 0.20621798021825358, 0.3410496416764113]","[0.21726839164402598, 0.2278111144108699, 0.2604230726539444, 0.29449742129115974]","[0.24675146580141988, 0.24756865316575807, 0.25105340903262097, 0.25462647200020117]",0.05377946286957646,0.0302174029921862,0.003121631609686497,0.21789738911156298,0.19874527639183787,0.20492805118594878,0.13532069189080353,0.19202613692747797,0.6805242647833913,"[0.46403192090090384, -0.2827901741843297, -0.6271110161030515]","[0.5735150449952742, -0.4826242326140623, -0.5816314219241387]","[0.538537843431414, -0.41878209987590476, -0.5961610487117999]","[0.5266377016076668, -0.4263197473772396, -0.5920143676951145]","[0.24535827374546093, -0.394398051238459, -0.4174148242621345]",0.006243263219372994,0.16047428731205668,False
balanced,128,7,native16@C2,native16,c2,True,"[0.25, 0.25, 0.25, 0.25]","[0.24533974610275278, 0.19654729027229165, 0.2054310747646197, 0.35268188886033575]","[0.26152220924163216, 0.17160850953582568, 0.25389765840508133, 0.3129716228174608]","[0.25281804960640486, 0.2399289119353932, 0.25015728966685735, 0.25709574879134456]",0.06206623385582679,0.05064238369268853,0.006319466143164151,0.09231264406788908,0.07540053413364117,0.19105108196833395,0.2321532164716088,0.08832656836059653,0.6831269965591086,"[0.24850324026981224, -0.006679691255486064, -0.49327481602237777]","[0.2680525689052444, 0.07022880103295794, -0.6208724190087035]","[0.261857914425282, 0.045858576091408046, -0.580440183318568]","[0.277817094065853, 0.007783941741672651, -0.5811627297511275]","[0.15136748108368084, 0.05923649196174666, -0.512112903628341]",0.012638932286328302,0.0937698463443569,False
balanced,128,7,native16@C3,native16,c3,True,"[0.25, 0.25, 0.25, 0.25]","[0.19833291353157403, 0.22417837430017296, 0.19784830802568176, 0.3796404041425713]","[0.2087279062188318, 0.21295984788789885, 0.2637934949860553, 0.31451875090721404]","[0.24608075621667397, 0.24578427521729843, 0.25136920766917703, 0.2567657608968506]",0.07560204616931865,0.04309375916570345,0.004493969777137744,0.1467245016280566,0.08607683363347504,0.1086540774170267,0.06082158636739277,0.07645819627169731,0.6803105622960682,"[0.6927965267470225, -0.5390876004716776, -0.7950237704133931]","[1.0422887875307214, -0.6686067181086184, -0.7670850941002071]","[0.9305598031989049, -0.6272008242193554, -0.7760167938209617]","[0.9173662239671359, -0.6426322156254067, -0.770662766270756]","[0.789657433427771, -0.660708745345045, -0.7406415866864722]",0.008987939554275489,0.24848841976982516,False
balanced,128,7,native16@C4,native16,c4,True,"[0.25, 0.25, 0.25, 0.25]","[0.24443679278217098, 0.17582095476303447, 0.19416377072721008, 0.3855784817275844]","[0.2700242910477233, 0.14209170901032878, 0.25425742186963174, 0.3336265780723163]","[0.2543473716764613, 0.23608806116275544, 0.2500968121373118, 0.2594677550234714]",0.0822081036665133,0.06902300648576662,0.008690360183544334,0.07139036475689692,0.035863988862023286,0.20484388380639304,0.2854796984804005,0.04948673273433804,0.6827731692868482,"[0.28383679960620395, 0.04267736189354593, -0.5669231385460688]","[0.32252134373865976, 0.2489203189898486, -0.6777585826983376]","[0.31024956840593776, 0.18349451935327996, -0.6425986060192288]","[0.3333931851772566, 0.13189657031484764, -0.6440130636563313]","[0.2871830494690919, 0.17437942213720123, -0.5856466280187804]",0.017380720367088667,0.12790136455760112,False
