condition,batch_size,repeat,target_view,montage,held_out_reference,stress_construction_uses_labels,true_batch_prior_audit_only,soft_mean_prior,weak_confusion_prior,regularized_confusion_prior,soft_mean_prior_rmse,weak_confusion_prior_rmse,regularized_confusion_prior_rmse,uniform_bias_rmse,fixed_shrinkage_bias_rmse,soft_mean_shrinkage_bias_rmse,weak_confusion_shrinkage_bias_rmse,candidate_bias_rmse,prior_match_weight,candidate_bias,target_reference_labels_used_for_candidate
random,128,10,native16@FC1,native16,fc1,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.15581516680489346, 0.1606256478943774, 0.33050103533981995, 0.3530581499609094]","[0.20203748050055537, 0.18539685306346826, 0.25208052781253526, 0.3604851386234411]","[0.24499019886142834, 0.24256305509710227, 0.25011799736191836, 0.262328748679551]",0.08600107351417945,0.07330538612754055,0.027520716517347856,0.10846048131248762,0.04830487049972613,0.18930930847803362,0.09452524499760742,0.04083776715313133,0.5145001050221327,"[-1.2600028289467, -1.528777712366113, 1.7105951710642922]",False
random,128,10,native16@FC2,native16,fc2,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.24417589808111345, 0.1317124968029337, 0.3374068449010862, 0.2867047602148665]","[0.3219831552629894, 0.1237803054478951, 0.2630194909908087, 0.29121704829830697]","[0.2627043226925003, 0.23126901662248214, 0.25164981055876456, 0.254376850126253]",0.056650382529013235,0.06528087900220364,0.022251062031666387,0.16044691346270093,0.2325422047071274,0.2261867553485402,0.3514806668532848,0.236201361395394,0.5038166047471974,"[-2.255787277079576, -1.0763003937161701, 2.0184999259935967]",False
random,128,10,native16@FC3,native16,fc3,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.12593625174548312, 0.17134925280325553, 0.335386471783661, 0.3673280236676003]","[0.16425875726323963, 0.20916434558928282, 0.24977778849958587, 0.3767991086478916]","[0.2393200808213971, 0.24670516759074576, 0.2497473126870566, 0.26422743890080047]",0.09932345210556713,0.08756726390660333,0.029834179324567035,0.05923086443986846,0.25055708069988203,0.5261834882284774,0.3896127225111605,0.2651859420193012,0.49248109517918504,"[-0.647309810333605, -1.6315222483227076, 1.3746582551761914]",False
random,128,10,native16@FC4,native16,fc4,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.17678621423899912, 0.1387054063674606, 0.3411917294134312, 0.3433166499801093]","[0.2389354178810546, 0.15385876575977675, 0.2559884900354455, 0.35121732632372316]","[0.2507291781310149, 0.23740310896709027, 0.2506550778999826, 0.2612126350019123]",0.08300321622330145,0.06948603432780538,0.02546321193262232,0.0910510705161112,0.0669737048153585,0.29654420576290386,0.22867495815544253,0.08579428591074466,0.5181107940761368,"[-2.2423307648079116, -0.5752648522807089, 1.8117387570626378]",False
random,128,10,native16@Fz,native16,fz,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.1464945473727145, 0.15360225653246487, 0.3259686357632417, 0.373934560331579]","[0.19083484218738508, 0.17821635422992435, 0.2499326109402953, 0.3810161926423953]","[0.24362140304485605, 0.24188412955844202, 0.2498722668472503, 0.2646222005494516]",0.09679210814028281,0.08538701699158747,0.02822827792685335,0.05196096490909267,0.12084007119225473,0.37993727484358075,0.2613864073568985,0.13585343363621355,0.5123166234821035,"[-1.8137462366619148, -1.2218984690946457, 1.9523016436355922]",False
random,128,10,native16@Pz,native16,pz,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.14332861119899717, 0.15834012829933958, 0.3066580826494197, 0.39167317785224337]","[0.1773086114225822, 0.18054316462983594, 0.24602187759432095, 0.39612634635326094]","[0.241709423145137, 0.2425369793491963, 0.24943275777395943, 0.2663208397317073]",0.10223531028746768,0.09481116966007874,0.029224059505051084,0.15923064122293185,0.039177212761231844,0.31713525369399725,0.22019849949004186,0.05381447917112524,0.5154426503251877,"[-1.0777004093935558, -0.8775090795172553, 1.6594444020952035]",False
random,128,10,native32@C1,native32,c1,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.25827749845308673, 0.18096415319478218, 0.4417730287812347, 0.11898531957089667]","[0.3427536099670624, 0.216914847261, 0.3789761649882818, 0.06135537778365583]","[0.26756998213238853, 0.2438875816531951, 0.2646510693843821, 0.22389136683003436]",0.09754905226669769,0.10634685793609922,0.018927037394151674,0.2686646245898248,0.15767349784587814,0.3746543134348582,0.33653403447456065,0.12887098373670802,0.5158012494071713,"[-0.7425441848781942, -0.7122421027702011, 1.6102790056938854]",False
random,128,10,native32@C2,native32,c2,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.27542999794246675, 0.16582848084268592, 0.44289403816466494, 0.11584748305018237]","[0.3698206728274276, 0.1928813413046235, 0.37951001580246196, 0.057787970065486874]","[0.2727329548222511, 0.2391734986220333, 0.26466335178590555, 0.22343019476981005]",0.10102472201405314,0.11465028405848589,0.018404119533185857,0.28150423066654506,0.10081922765329081,0.2904271587987406,0.342092728282967,0.03662289535538925,0.5167864901474042,"[-1.389203177382739, -0.1983074255075126, 1.7754320088362627]",False
random,128,10,native32@C3,native32,c3,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.2366066862055197, 0.21418995744272004, 0.44368708521892, 0.10551627113284014]","[0.30830456158257824, 0.2678412346566703, 0.3842734382906414, 0.03958076547011001]","[0.26043137646619674, 0.25330182636065457, 0.26551335437421375, 0.22075344279893497]",0.10122229853914803,0.11398389598891288,0.022027234841715822,0.37300669056282554,0.3687500998512533,0.5003856621641022,0.5020187724386094,0.3632366778808157,0.4905989808444757,"[-0.247927774323057, -0.946110796952183, 1.3394439362596386]",False
random,128,10,native32@C4,native32,c4,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.29604567704681944, 0.1349321857595112, 0.45480824454478286, 0.11421389264888633]","[0.4073974318289675, 0.14968845780844992, 0.3846036365924544, 0.058310473770127984]","[0.2802553497726808, 0.23109283367221373, 0.26505833979889726, 0.22359347675620825]",0.11224698811738426,0.12968420742141218,0.018360746168086948,0.2162862154428803,0.09749840625697367,0.45609200868173416,0.5064516081075564,0.1563554314971718,0.48947150745059476,"[-1.5978896986955586, 0.25709436617477355, 1.7274227791584524]",False
random,128,10,native32@C5,native32,c5,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.31370853743435745, 0.17021099358850458, 0.3918921295037812, 0.12418833947335672]","[0.4073439010932852, 0.17545570389954626, 0.35155710207191104, 0.06564329293525756]","[0.2790760713647438, 0.2347823768889524, 0.261670166709483, 0.2244713850368208]",0.08395748180802132,0.11896428061067664,0.01973320861093452,0.31539066253081666,0.10500207329382891,0.2371494867375497,0.37390642434368754,0.09234715936232064,0.5036928550491309,"[0.1313405893133105, -0.9997884958085991, 1.1427514309191151]",False
random,128,10,native32@C6,native32,c6,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.22437373980120956, 0.1936656988024406, 0.48987471419662776, 0.09208584719972228]","[0.30887194121942985, 0.2562200058512969, 0.4100408144142721, 0.02486723851500114]","[0.2611724634408672, 0.25179240972746353, 0.26824911940191487, 0.21878600742975446]",0.12481899016713681,0.12504031605557295,0.02109089671041429,0.2290991937039452,0.1667306280930246,0.4105341499053986,0.43871647723970186,0.1519501086901239,0.5170459012812614,"[-1.621365376037291, 0.7314468223739896, 1.518371846116605]",False
random,128,10,native32@CP1,native32,cp1,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.2328155209716094, 0.18584456378212974, 0.45360412835604363, 0.127735786890217]","[0.3091552848916157, 0.23243344492675652, 0.38352570229444505, 0.0748855678871827]","[0.26166532478945476, 0.24748396356796795, 0.2650614063798329, 0.22578930526274438]",0.10019167371589095,0.09641511003063849,0.019301888316100784,0.23066647210062355,0.19440047929525095,0.4138594301267314,0.3393686112755752,0.1796564607107152,0.5122288679786612,"[-0.4838158700207436, -0.6092849405693019, 1.5050445496788334]",False
random,128,10,native32@CP2,native32,cp2,False,"[0.2578125, 0.21875, 0.2890625, 0.234375]","[0.24953391664804106, 0.16986553790363199, 0.45732508942792116, 0.12327545602040589]","[0.33659540984283576, 0.20812690933175168, 0.3856412722667316, 0.06963640855868103]","[0.2669151442171378, 0.24273914048064063, 0.2652488947792925, 0.2250968205229293]",0.10381911342598421,0.1034237154878769,0.018107383858250673,0.19816859881761886,0.0706375051563261,0.3235697011146316,0.31009275607458636,0.027092696520682153,0.5151518299825409,"[-1.0357790406863094, -0.06486131476974269, 1.712739384006173]",False
