held_out_reference,batch_size,prior_match_mse_from_source_subjects,nested_topology_mse,prior_match_weight,topology_weight,n_source_views,n_random_source_resamples,target_reference_labels_used
c4,64,0.09978303234665187,0.06093618858786465,0.3791468639130133,0.6208531360869867,46,20,False
c4,128,0.06355765356701358,0.06093618858786465,0.48947150745059476,0.5105284925494052,46,20,False
c4,256,0.05851834977573089,0.06093618858786465,0.5101203304841141,0.4898796695158859,46,20,False
c4,450,0.052223924661461134,0.06093618858786465,0.5384952951894267,0.46150470481057326,46,1,False
c5,16,0.34895303558269913,0.0645187246122756,0.15604142972630458,0.8439585702736954,47,20,False
c5,32,0.1369789826447872,0.0645187246122756,0.32019582500740407,0.6798041749925959,47,20,False
c5,64,0.09914300612381684,0.0645187246122756,0.3942199824118519,0.605780017588148,47,20,False
c5,128,0.06357267864176172,0.0645187246122756,0.5036928550491309,0.49630714495086914,47,20,False
c5,256,0.058604055798282685,0.0645187246122756,0.5240193926512632,0.4759806073487368,47,20,False
c5,450,0.05236720292112322,0.0645187246122756,0.5519802595042086,0.4480197404957914,47,1,False
c6,16,0.345637933912149,0.06775087578372369,0.1638914121395002,0.8361085878604998,47,20,False
c6,32,0.13657637975462303,0.06775087578372369,0.3315802172608768,0.6684197827391232,47,20,False
c6,64,0.09855316831680526,0.06775087578372369,0.4073916310944852,0.5926083689055148,47,20,False
c6,128,0.06328367185669696,0.06775087578372369,0.5170459012812614,0.4829540987187386,47,20,False
c6,256,0.05854295672060308,0.06775087578372369,0.536454349672242,0.46354565032775796,47,20,False
c6,450,0.05236066520465251,0.06775087578372369,0.5640663272339523,0.43593367276604766,47,1,False
cp1,16,0.34893837494378355,0.0661647564594038,0.15939353730179007,0.8406064626982099,46,20,False
cp1,32,0.13623762600622524,0.0661647564594038,0.3268971227186003,0.6731028772813997,46,20,False
cp1,64,0.09911472542732051,0.0661647564594038,0.40032044936316036,0.5996795506368396,46,20,False
cp1,128,0.06300554337258486,0.0661647564594038,0.5122288679786612,0.4877711320213388,46,20,False
cp1,256,0.05755768798268214,0.0661647564594038,0.5347837795944559,0.4652162204055441,46,20,False
cp1,450,0.051366990526985255,0.0661647564594038,0.5629522078580702,0.4370477921419298,46,1,False
cp2,16,0.3490608284336415,0.06746291559140694,0.16196655427007284,0.8380334457299272,46,20,False
cp2,32,0.13683496587735666,0.06746291559140694,0.33021838066256093,0.6697816193374391,46,20,False
cp2,64,0.09946734428666816,0.06746291559140694,0.4041383248350627,0.5958616751649373,46,20,False
cp2,128,0.06349442875830318,0.06746291559140694,0.5151518299825409,0.48484817001745906,46,20,False
cp2,256,0.05844461113516326,0.06746291559140694,0.535813206289996,0.46418679371000404,46,20,False
cp2,450,0.05222232018681313,0.06746291559140694,0.5636694881599057,0.4363305118400943,46,1,False
cp3,16,0.35126495530932367,0.06415139539906052,0.1544267462984234,0.8455732537015765,46,20,False
cp3,32,0.13593056307133303,0.06415139539906052,0.3206255870818713,0.6793744129181287,46,20,False
cp3,64,0.09875285056999716,0.06415139539906052,0.39379817890839725,0.6062018210916027,46,20,False
cp3,128,0.06298551142078741,0.06415139539906052,0.5045851515796478,0.4954148484203522,46,20,False
cp3,256,0.05727238677744689,0.06415139539906052,0.5283264468389478,0.4716735531610522,46,20,False
cp3,450,0.05115705293048217,0.06415139539906052,0.5563460121822189,0.4436539878177811,46,1,False
cp4,16,0.349995777378994,0.06742053003947077,0.16151867773551282,0.8384813222644871,46,20,False
cp4,32,0.1370609672119813,0.06742053003947077,0.32971457538069254,0.6702854246193075,46,20,False
cp4,64,0.09941733687519028,0.06742053003947077,0.4041080798159385,0.5958919201840616,46,20,False
cp4,128,0.06397936287136759,0.06742053003947077,0.5130942540814633,0.48690574591853675,46,20,False
