held_out_reference,batch_size,prior_match_mse_from_non_target_references,topology_mse_from_nested_non_target_references,prior_match_weight,topology_weight,n_source_views,n_random_resamples,target_reference_labels_used
c5,16,0.2596384003902482,0.0645187246122756,0.19903534315888716,0.8009646568411128,47,20,False
c5,32,0.11034313812770322,0.0645187246122756,0.3689696746981103,0.6310303253018896,47,20,False
c5,64,0.06108648928293263,0.0645187246122756,0.513662790034363,0.486337209965637,47,20,False
c5,128,0.023732988307607075,0.0645187246122756,0.7310761737944675,0.26892382620553246,47,20,False
c5,256,0.00881295247454358,0.0645187246122756,0.8798206610751625,0.12017933892483745,47,20,False
c5,512,0.0035562274885246343,0.0645187246122756,0.9477601176529828,0.05223988234701715,47,20,False
c5,900,1.2547675654883733e-05,0.0645187246122756,0.9998055566671784,0.0001944433328215922,47,1,False
c6,16,0.26093715365266457,0.06775087578372369,0.20612516951073104,0.793874830489269,47,20,False
c6,32,0.1109937824282784,0.06775087578372369,0.3790372057069644,0.6209627942930356,47,20,False
c6,64,0.0605192645220842,0.06775087578372369,0.5281889894421206,0.47181101055787944,47,20,False
c6,128,0.023810306835452003,0.06775087578372369,0.7399519517513812,0.2600480482486188,47,20,False
c6,256,0.008709178771787389,0.06775087578372369,0.886095048945271,0.11390495105472898,47,20,False
c6,512,0.0035200208070606492,0.06775087578372369,0.9506106843685224,0.04938931563147764,47,20,False
c6,900,1.2516415150303998e-05,0.06775087578372369,0.9998152923762498,0.00018470762375022431,47,1,False
cp1,16,0.2603035906814922,0.0661647564594038,0.20266821282630704,0.7973317871736929,46,20,False
cp1,32,0.11117570957642013,0.0661647564594038,0.3730945222961018,0.6269054777038983,46,20,False
cp1,64,0.061165898878864686,0.0661647564594038,0.5196294347471121,0.4803705652528879,46,20,False
cp1,128,0.023924489202254446,0.0661647564594038,0.7344356806792907,0.26556431932070934,46,20,False
cp1,256,0.00879388350108025,0.0661647564594038,0.8826835237977086,0.11731647620229135,46,20,False
cp1,512,0.0035571482083230073,0.0661647564594038,0.9489809088653661,0.051019091134633876,46,20,False
cp1,900,1.2435112298421703e-05,0.0661647564594038,0.9998120936835926,0.00018790631640741573,46,1,False
cp2,16,0.2628608525950015,0.06746291559140694,0.20423270163634194,0.7957672983636581,46,20,False
cp2,32,0.11111705421494177,0.06746291559140694,0.3777742580232453,0.6222257419767547,46,20,False
cp2,64,0.06120264104113783,0.06746291559140694,0.5243277016558044,0.47567229834419555,46,20,False
cp2,128,0.02400562532458302,0.06746291559140694,0.7375532058980674,0.2624467941019326,46,20,False
cp2,256,0.00877057431333786,0.06746291559140694,0.8849511635332862,0.11504883646671382,46,20,False
cp2,512,0.0035379965423749694,0.06746291559140694,0.9501697029510188,0.04983029704898123,46,20,False
cp2,900,1.2512005598372324e-05,0.06746291559140694,0.999814569450777,0.00018543054922304236,46,1,False
cp3,16,0.26030076974830113,0.06415139539906052,0.19772219849395628,0.8022778015060437,46,20,False
cp3,32,0.11086731706777653,0.06415139539906052,0.3665402087289157,0.6334597912710843,46,20,False
cp3,64,0.061227365073319516,0.06415139539906052,0.5116607881379763,0.48833921186202367,46,20,False
cp3,128,0.023870918757180254,0.06415139539906052,0.72880832563878,0.27119167436122005,46,20,False
cp3,256,0.008787630026006282,0.06415139539906052,0.879520874116502,0.12047912588349796,46,20,False
cp3,512,0.0035774307160487146,0.06415139539906052,0.9471800868072237,0.05281991319277635,46,20,False
cp3,900,1.2584946810306445e-05,0.06415139539906052,0.9998038627475654,0.00019613725243461388,46,1,False
cp4,16,0.26176236262009905,0.06742053003947077,0.20481176738790882,0.7951882326120912,46,20,False
cp4,32,0.11108989159103802,0.06742053003947077,0.3776839997556091,0.6223160002443908,46,20,False
cp4,64,0.061279164978711775,0.06742053003947077,0.5238592836598849,0.4761407163401151,46,20,False
cp4,128,0.023974041931078983,0.06742053003947077,0.7376863700526528,0.2623136299473472,46,20,False
cp4,256,0.008826621371163454,0.06742053003947077,0.884236706449175,0.11576329355082504,46,20,False
cp4,512,0.0035400302703022532,0.06742053003947077,0.9501127069058007,0.04988729309419926,46,20,False
cp4,900,1.2556332733807105e-05,0.06742053003947077,0.9998137956690206,0.00018620433097937816,46,1,False
cp5,16,0.2594732422385818,0.0646554935858234,0.1994747346956924,0.8005252653043076,47,20,False
cp5,32,0.1102541848529668,0.0646554935858234,0.36965074867740755,0.6303492513225925,47,20,False
cp5,64,0.06096000175955505,0.0646554935858234,0.5147095380872704,0.4852904619127296,47,20,False
cp5,128,0.023720485885293234,0.0646554935858234,0.7315957794499391,0.26840422055006086,47,20,False
cp5,256,0.008752463514866943,0.0646554935858234,0.8807695533215617,0.1192304466784383,47,20,False
cp5,512,0.003541299814672779,0.0646554935858234,0.9480723412627928,0.05192765873720717,47,20,False
cp5,900,1.2553287510089157e-05,0.0646554935858234,0.9998058811404236,0.00019411885957643094,47,1,False
cp6,16,0.2581376981246961,0.0646307220235484,0.2002386788455454,0.7997613211544546,47,20,False
cp6,32,0.11069244938098136,0.0646307220235484,0.368637650721156,0.631362349278844,47,20,False
cp6,64,0.06075237055028487,0.0646307220235484,0.5154660065948673,0.4845339934051327,47,20,False
cp6,128,0.02379393654396239,0.0646307220235484,0.7309128818880753,0.26908711811192465,47,20,False
cp6,256,0.008705295247093035,0.0646307220235484,0.8812957729219635,0.11870422707803652,47,20,False
cp6,512,0.0034976370027390243,0.0646307220235484,0.9486610707680562,0.05133892923194383,47,20,False
cp6,900,1.2511698043176687e-05,0.0646307220235484,0.9998064499975812,0.0001935500024188297,47,1,False
cpz,16,0.25994488372048863,0.06733831919253824,0.20574938949871163,0.7942506105012883,46,20,False
cpz,32,0.1112508400996234,0.06733831919253824,0.3770571487061911,0.6229428512938089,46,20,False
cpz,64,0.0611624349690597,0.06733831919253824,0.5240305368780637,0.47596946312193633,46,20,False
cpz,128,0.024039965230287678,0.06733831919253824,0.7369181815774757,0.2630818184225243,46,20,False
cpz,256,0.008772798207030967,0.06733831919253824,0.8847369673870978,0.11526303261290216,46,20,False
cpz,512,0.0035623535006050204,0.06733831919253824,0.9497557164792665,0.05024428352073351,46,20,False
cpz,900,1.2550025372048389e-05,0.06733831919253824,0.9998136620133076,0.00018633798669243085,46,1,False
cz,16,0.26241313558866014,0.06689957749741264,0.2031490885076369,0.7968509114923631,46,20,False
cz,32,0.11192576346404282,0.06689957749741264,0.3741056895948118,0.6258943104051882,46,20,False
cz,64,0.061548942940411036,0.06689957749741264,0.520827933785316,0.479172066214684,46,20,False
cz,128,0.024061338809964777,0.06689957749741264,0.735476072727147,0.264523927272853,46,20,False
cz,256,0.008820347211606298,0.06689957749741264,0.8835135237455445,0.11648647625445552,46,20,False
cz,512,0.0035871317957435005,0.06689957749741264,0.9491091039471778,0.050890896052822154,46,20,False
cz,900,1.2538130678122992e-05,0.06689957749741264,0.9998126179308421,0.00018738206915791533,46,1,False
f1,16,0.2601818931190138,0.06655304882473441,0.20369125024954451,0.7963087497504555,47,20,False
f1,32,0.11076103093754476,0.06655304882473441,0.37533989920011157,0.6246601007998884,47,20,False
f1,64,0.060878340571685875,0.06655304882473441,0.5222657395478729,0.4777342604521271,47,20,False
f1,128,0.02390273421944022,0.06655304882473441,0.7357522823303937,0.2642477176696063,47,20,False
f1,256,0.008775778764441043,0.06655304882473441,0.8835003936036024,0.11649960639639756,47,20,False
f1,512,0.0035606079170910836,0.06655304882473441,0.949216627935952,0.05078337206404804,47,20,False
f1,900,1.2559928081542442e-05,0.06655304882473441,0.9998113150571765,0.00018868494282353598,47,1,False
f2,16,0.2590755015345219,0.06546614854761824,0.20171878873189014,0.7982812112681099,47,20,False
f2,32,0.1106670429255117,0.06546614854761824,0.3716854727952026,0.6283145272047974,47,20,False
f2,64,0.06061080750739063,0.06546614854761824,0.5192554658367116,0.48074453416328844,47,20,False
f2,128,0.023835000005304207,0.06546614854761824,0.7330941383001486,0.2669058616998514,47,20,False
f2,256,0.00873946326068038,0.06546614854761824,0.8822263835886462,0.11777361641135375,47,20,False
f2,512,0.003546328212570704,0.06546614854761824,0.9486132308380437,0.05138676916195628,47,20,False
