condition,batch_size,method,n_rows,n_target_views,n_repeats,mean_target_bias_rmse,p90_target_bias_rmse,worst_target_bias_rmse,mean_balanced_accuracy,worst_balanced_accuracy,mean_max_class_recall_gap,worst_class_recall_gap,mean_class_recall_gap,mean_nll,mean_ece_15
random,128,topology_ridge,48,48,1,0.22257884504599754,0.36894403686722016,0.57945000043967,0.4611549631930067,0.3711870255348516,0.10729957441913963,0.2857142857142857,0.056694271911663215,1.4303348885601472,0.20185391974516456
random,128,topology_shrinkage,960,48,20,0.11744830037444069,0.1998585376485653,0.36405203122130275,0.46267411433172306,0.36889233954451345,0.08173647055440533,0.2285714285714286,0.04227621060501495,1.4143989940109623,0.1961802113541335
random,256,identity,48,48,1,1.3092777647878242,1.645791438748595,2.089566859974682,0.4197665056360709,0.30935127674258106,0.22961668967103746,0.4782608695652174,0.11243889463998159,1.7121568284914404,0.2956377650059144
random,256,oracle,48,48,1,0.0,0.0,0.0,0.46317251840349666,0.3729641131815045,0.07132505175983436,0.19047619047619047,0.03776634748102139,1.4133290414216824,0.19623036249433187
random,256,prior_match,960,48,20,0.08488069769169933,0.14179854339672238,0.2364685268296424,0.46223119033241317,0.3681849551414769,0.07520495456636761,0.23333333333333334,0.03972799128709455,1.4159623145307003,0.19724128470602692
random,256,topology_ridge,48,48,1,0.22257884504599754,0.36894403686722016,0.57945000043967,0.4611549631930067,0.3711870255348516,0.10729957441913963,0.2857142857142857,0.056694271911663215,1.4303348885601472,0.20185391974516456
random,256,topology_shrinkage,960,48,20,0.07967655596226524,0.13060192689941116,0.23079718916763065,0.462382533931447,0.36944444444444446,0.07481251437773177,0.2142857142857143,0.03916188607085346,1.415625084561453,0.19703497496029476
random,512,identity,48,48,1,1.3092777647878242,1.645791438748595,2.089566859974682,0.4197665056360709,0.30935127674258106,0.22961668967103746,0.4782608695652174,0.11243889463998159,1.7121568284914404,0.2956377650059144
random,512,oracle,48,48,1,0.0,0.0,0.0,0.46317251840349666,0.3729641131815045,0.07132505175983436,0.19047619047619047,0.03776634748102139,1.4133290414216824,0.19623036249433187
random,512,prior_match,960,48,20,0.051763245616920285,0.09252668201550585,0.16955733886910776,0.4623966420807453,0.3717391304347826,0.07225744766505636,0.20476190476190476,0.03797588494939038,1.4153797358366946,0.1971842313405546
random,512,topology_ridge,48,48,1,0.22257884504599754,0.36894403686722016,0.57945000043967,0.4611549631930067,0.3711870255348516,0.10729957441913963,0.2857142857142857,0.056694271911663215,1.4303348885601472,0.20185391974516456
random,512,topology_shrinkage,960,48,20,0.05088499314737069,0.08876291812835456,0.16838195032471373,0.4624139492753623,0.3729641131815045,0.07228706579250056,0.2,0.037699922360248446,1.4152567105542575,0.1971837459859592
random,900,identity,48,48,1,1.3092777647878242,1.645791438748595,2.089566859974682,0.4197665056360709,0.30935127674258106,0.22961668967103746,0.4782608695652174,0.11243889463998159,1.7121568284914404,0.2956377650059144
random,900,oracle,48,48,1,0.0,0.0,0.0,0.46317251840349666,0.3729641131815045,0.07132505175983436,0.19047619047619047,0.03776634748102139,1.4133290414216824,0.19623036249433187
random,900,prior_match,48,48,1,0.003529891754873646,0.003851636318383901,0.004239483903279213,0.462940677478721,0.3741545893719807,0.07006124913733609,0.18095238095238092,0.037344720496894405,1.413821490158534,0.19662011092731746
random,900,topology_ridge,48,48,1,0.22257884504599754,0.36894403686722016,0.57945000043967,0.4611549631930067,0.3711870255348516,0.10729957441913963,0.2857142857142857,0.056694271911663215,1.4303348885601472,0.20185391974516456
random,900,topology_shrinkage,48,48,1,0.0035297764919898296,0.0038555942795252935,0.0042546933929796735,0.4628907148608236,0.3741545893719807,0.07016045548654244,0.18095238095238092,0.03734436105360018,1.4138212786402538,0.19667009947250955
skew_0.4_class_0,128,identity,48,48,1,1.3092777647878242,1.645791438748595,2.089566859974682,0.4197665056360709,0.30935127674258106,0.22961668967103746,0.4782608695652174,0.11243889463998159,1.7121568284914404,0.2956377650059144
skew_0.4_class_0,128,oracle,48,48,1,0.0,0.0,0.0,0.46317251840349666,0.3729641131815045,0.07132505175983436,0.19047619047619047,0.03776634748102139,1.4133290414216824,0.19623036249433187
skew_0.4_class_0,128,prior_match,960,48,20,0.200126847530641,0.3716360095493808,0.5556360404748204,0.45831259345525655,0.37168737060041407,0.0910598544973545,0.2238095238095238,0.04600090579710145,1.4312654786509975,0.2032271714245045
skew_0.4_class_0,128,topology_ridge,48,48,1,0.22257884504599754,0.36894403686722016,0.57945000043967,0.4611549631930067,0.3711870255348516,0.10729957441913963,0.2857142857142857,0.056694271911663215,1.4303348885601472,0.20185391974516456
skew_0.4_class_0,128,topology_shrinkage,960,48,20,0.1614910616361163,0.2923848319796131,0.4631876880816909,0.45987791508511616,0.3730331262939958,0.08566389176443524,0.2,0.04304468239590522,1.425952494406409,0.20119807975654824
skew_0.4_class_1,128,identity,48,48,1,1.3092777647878242,1.645791438748595,2.089566859974682,0.4197665056360709,0.30935127674258106,0.22961668967103746,0.4782608695652174,0.11243889463998159,1.7121568284914404,0.2956377650059144
skew_0.4_class_1,128,oracle,48,48,1,0.0,0.0,0.0,0.46317251840349666,0.3729641131815045,0.07132505175983436,0.19047619047619047,0.03776634748102139,1.4133290414216824,0.19623036249433187
skew_0.4_class_1,128,prior_match,960,48,20,0.2057845190977018,0.3765307422803279,0.5201393341159127,0.4632591262652404,0.3668909592822636,0.08837344720496894,0.26190476190476186,0.04849538834253508,1.4215621837915733,0.19545356124476243
