probe_seed,test_view,true_class,predicted_class,car_fraction,shifted_fraction,fraction_change
21,pz,right_fist,both_fists,0.2828507795100223,0.2739420935412027,-0.008908685968819607
21,pz,right_fist,both_feet,0.1514476614699332,0.19376391982182628,0.042316258351893093
21,pz,both_fists,left_fist,0.1688888888888889,0.08,-0.08888888888888889
21,pz,both_fists,right_fist,0.08,0.07555555555555556,-0.004444444444444445
21,pz,both_fists,both_fists,0.6133333333333333,0.6111111111111112,-0.0022222222222221255
21,pz,both_fists,both_feet,0.13777777777777778,0.23333333333333334,0.09555555555555556
21,pz,both_feet,left_fist,0.17880794701986755,0.08388520971302428,-0.09492273730684327
21,pz,both_feet,right_fist,0.04194260485651214,0.03090507726269316,-0.011037527593818982
21,pz,both_feet,both_fists,0.2847682119205298,0.26490066225165565,-0.019867549668874163
21,pz,both_feet,both_feet,0.49448123620309054,0.6203090507726269,0.12582781456953634
21,fcz,left_fist,left_fist,0.6651884700665188,0.5631929046563193,-0.1019955654101995
21,fcz,left_fist,right_fist,0.022172949002217297,0.04656319290465632,0.024390243902439022
21,fcz,left_fist,both_fists,0.2106430155210643,0.3082039911308204,0.09756097560975613
21,fcz,left_fist,both_feet,0.10199556541019955,0.082039911308204,-0.019955654101995554
21,fcz,right_fist,left_fist,0.10244988864142539,0.0645879732739421,-0.03786191536748329
21,fcz,right_fist,right_fist,0.46325167037861914,0.45657015590200445,-0.006681514476614692
21,fcz,right_fist,both_fists,0.2828507795100223,0.34743875278396436,0.06458797327394206
21,fcz,right_fist,both_feet,0.1514476614699332,0.13140311804008908,-0.020044543429844103
21,fcz,both_fists,left_fist,0.1688888888888889,0.08222222222222222,-0.08666666666666667
21,fcz,both_fists,right_fist,0.08,0.09777777777777778,0.01777777777777778
21,fcz,both_fists,both_fists,0.6133333333333333,0.6888888888888889,0.0755555555555556
21,fcz,both_fists,both_feet,0.13777777777777778,0.13111111111111112,-0.006666666666666654
21,fcz,both_feet,left_fist,0.17880794701986755,0.09933774834437085,-0.07947019867549669
21,fcz,both_feet,right_fist,0.04194260485651214,0.05739514348785872,0.015452538631346581
21,fcz,both_feet,both_fists,0.2847682119205298,0.3598233995584989,0.07505518763796909
21,fcz,both_feet,both_feet,0.49448123620309054,0.48344370860927155,-0.011037527593818985
21,random_linear,left_fist,left_fist,0.6651884700665188,0.6917960088691796,0.026607538802660757
21,random_linear,left_fist,right_fist,0.022172949002217297,0.019955654101995565,-0.002217294900221732
