probe_seed,test_view,class_index,class_name,point_recall_gap,n_subjects,n_resamples,confidence,bootstrap_mean_recall_gap,ci_lower,ci_upper,probability_gap_positive,ci_excludes_zero
21,fcz,0,left_fist,0.1019955654101995,20,10000,0.95,0.10231938484853664,0.05180180180180183,0.15813473179734178,1.0,True
21,fcz,1,right_fist,0.006681514476614692,20,10000,0.95,0.006711061167641843,-0.03719030869667431,0.05442486085343224,0.5813,False
21,fcz,2,both_fists,-0.0755555555555556,20,10000,0.95,-0.07549031446582134,-0.13024518193317947,-0.0195227765726681,0.005,True
21,fcz,3,both_feet,0.011037527593818985,20,10000,0.95,0.011124730174430053,-0.03563474387527832,0.05756929637526648,0.6717,False
21,random_linear,0,left_fist,-0.026607538802660757,20,10000,0.95,-0.026586896953218128,-0.03982300884955747,-0.013729977116704869,0.0,True
21,random_linear,1,right_fist,-0.015590200445434299,20,10000,0.95,-0.015550674404485954,-0.028761061946902644,-0.002309468822170978,0.0034,True
21,random_linear,2,both_fists,0.019999999999999907,20,10000,0.95,0.02006695477133058,0.006696428571428603,0.03448275862068961,0.9974,True
21,random_linear,3,both_feet,0.01766004415011041,20,10000,0.95,0.017769664510884235,0.004474272930648726,0.03205299785867235,0.9926,True
42,cz,0,left_fist,0.2017738359201774,20,10000,0.95,0.20190533500305674,0.14782608695652177,0.26174761767691296,1.0,True
42,cz,1,right_fist,0.03563474387527832,20,10000,0.95,0.03587202530847545,-0.004444444444444473,0.07727674979887363,0.9564,False
42,cz,2,both_fists,-0.1266666666666667,20,10000,0.95,-0.1264423695451602,-0.17752808988764046,-0.07220661580617824,0.0,True
42,cz,3,both_feet,-0.015452538631346546,20,10000,0.95,-0.015915180591725378,-0.08496841689696015,0.052039641943734,0.3153,False
42,pz,0,left_fist,0.11529933481152999,20,10000,0.95,0.11553748566126733,0.07456140350877194,0.15265486725663713,1.0,True
42,pz,1,right_fist,0.022271714922048935,20,10000,0.95,0.02238437234077153,-0.015521064301552093,0.0625,0.8647,False
42,pz,2,both_fists,0.08444444444444443,20,10000,0.95,0.08514337744964187,0.01777777777777778,0.15457028911689638,0.9939,True
42,pz,3,both_feet,-0.17218543046357615,20,10000,0.95,-0.17199861527070634,-0.2354212873732434,-0.1053735144312394,0.0,True
42,fcz,0,left_fist,0.11086474501108656,20,10000,0.95,0.11101738079011818,0.06802609201575364,0.1584821428571429,1.0,True
42,fcz,1,right_fist,-0.015590200445434355,20,10000,0.95,-0.015440516354700486,-0.06122796846011135,0.0340136054421768,0.2418,False
42,fcz,2,both_fists,-0.08444444444444443,20,10000,0.95,-0.08450034937260137,-0.13978919391247355,-0.02505552391799544,0.0031,True
42,fcz,3,both_feet,0.030905077262693204,20,10000,0.95,0.03068670449136746,-0.026845637583892582,0.08991286768849317,0.8383,False
42,random_linear,0,left_fist,-0.0177383592017738,20,10000,0.95,-0.017626324159559097,-0.03083700440528636,-0.004524886877828038,0.0013,True
42,random_linear,1,right_fist,-0.015590200445434355,20,10000,0.95,-0.015542761880156951,-0.03340757238307346,0.0,0.0165,False
42,random_linear,2,both_fists,0.024444444444444435,20,10000,0.95,0.024480713242875554,0.0067415730337078705,0.04246391370637938,0.9968,True
42,random_linear,3,both_feet,0.02207505518763797,20,10000,0.95,0.022007932131439513,0.0045351473922902175,0.04068619376592669,0.994,True
