probe_seed,test_view,class_index,class_name,car_recall,shifted_recall,recall_gap,car_predicted_fraction,shifted_predicted_fraction,predicted_fraction_change,mean_probability_change,run_dir
21,cz,3,both_feet,0.49448123620309054,0.5187637969094923,-0.024282560706401723,0.2218524681087077,0.23294509151414308,0.011092623405435376,0.013207003922895755,outputs/reve_statistical_audit_s21
21,pz,0,left_fist,0.6651884700665188,0.5543237250554324,0.11086474501108645,0.2789794786466999,0.19689406544647808,-0.08208541320022184,-0.07471167209865937,outputs/reve_statistical_audit_s21
21,pz,1,right_fist,0.46325167037861914,0.46325167037861914,0.0,0.15141430948419302,0.14919578480310594,-0.002218524681087075,-0.004814095905575411,outputs/reve_statistical_audit_s21
21,pz,2,both_fists,0.6133333333333333,0.6111111111111112,0.0022222222222221255,0.34775374376039936,0.3527454242928453,0.004991680532445919,0.007001402206555707,outputs/reve_statistical_audit_s21
21,pz,3,both_feet,0.49448123620309054,0.6203090507726269,-0.12582781456953634,0.2218524681087077,0.3011647254575707,0.07931225734886302,0.07252436617389169,outputs/reve_statistical_audit_s21
21,fcz,0,left_fist,0.6651884700665188,0.5631929046563193,0.1019955654101995,0.2789794786466999,0.20244037714919577,-0.07653910149750415,-0.0697626976428882,outputs/reve_statistical_audit_s21
21,fcz,1,right_fist,0.46325167037861914,0.45657015590200445,0.006681514476614692,0.15141430948419302,0.1641708264004437,0.012756516916250682,0.013832922451665425,outputs/reve_statistical_audit_s21
21,fcz,2,both_fists,0.6133333333333333,0.6888888888888889,-0.0755555555555556,0.34775374376039936,0.4259567387687188,0.07820299500831945,0.0648590418813505,outputs/reve_statistical_audit_s21
21,fcz,3,both_feet,0.49448123620309054,0.48344370860927155,0.011037527593818985,0.2218524681087077,0.20743205768164172,-0.014420410427065988,-0.008929265373192108,outputs/reve_statistical_audit_s21
21,random_linear,0,left_fist,0.6651884700665188,0.6917960088691796,-0.026607538802660757,0.2789794786466999,0.30227398779811426,0.023294509151414344,0.019385896716054063,outputs/reve_statistical_audit_s21
21,random_linear,1,right_fist,0.46325167037861914,0.47884187082405344,-0.015590200445434299,0.15141430948419302,0.1552967276760954,0.0038824181919023815,0.0051068909611077795,outputs/reve_statistical_audit_s21
21,random_linear,2,both_fists,0.6133333333333333,0.5933333333333334,0.019999999999999907,0.34775374376039936,0.3355518580144204,-0.012201885745978969,-0.010393070219903544,outputs/reve_statistical_audit_s21
21,random_linear,3,both_feet,0.49448123620309054,0.4768211920529801,0.01766004415011041,0.2218524681087077,0.20687742651136995,-0.014975041597337757,-0.014099717461190237,outputs/reve_statistical_audit_s21
42,cz,0,left_fist,0.6851441241685144,0.48337028824833705,0.2017738359201774,0.2834165280088741,0.15585135884636717,-0.12756516916250696,-0.11951278848116895,outputs/reve_statistical_audit_s42
42,cz,1,right_fist,0.5701559020044543,0.534521158129176,0.03563474387527832,0.19966722129783693,0.19689406544647808,-0.002773155851358844,0.0076437686991714104,outputs/reve_statistical_audit_s42
42,cz,2,both_fists,0.46444444444444444,0.5911111111111111,-0.1266666666666667,0.21963394342762063,0.32945091514143093,0.1098169717138103,0.08607102683777529,outputs/reve_statistical_audit_s42
42,cz,3,both_feet,0.6335540838852097,0.6490066225165563,-0.015452538631346546,0.29728230726566834,0.3178036605657238,0.020521353300055445,0.025797995230161408,outputs/reve_statistical_audit_s42
42,pz,0,left_fist,0.6851441241685144,0.5698447893569845,0.11529933481152999,0.2834165280088741,0.19744869661674985,-0.08596783139212427,-0.07845446147006715,outputs/reve_statistical_audit_s42
42,pz,1,right_fist,0.5701559020044543,0.5478841870824054,0.022271714922048935,0.19966722129783693,0.18358291735995563,-0.016084303937881295,-0.00808191704554409,outputs/reve_statistical_audit_s42
42,pz,2,both_fists,0.46444444444444444,0.38,0.08444444444444443,0.21963394342762063,0.18524681087077094,-0.03438713255684969,-0.027258281657186384,outputs/reve_statistical_audit_s42
42,pz,3,both_feet,0.6335540838852097,0.8057395143487859,-0.17218543046357615,0.29728230726566834,0.4337215751525236,0.13643926788685523,0.11379465985945919,outputs/reve_statistical_audit_s42
42,fcz,0,left_fist,0.6851441241685144,0.5742793791574279,0.11086474501108656,0.2834165280088741,0.20077648363838047,-0.08264004437049366,-0.07652184017674649,outputs/reve_statistical_audit_s42
42,fcz,1,right_fist,0.5701559020044543,0.5857461024498887,-0.015590200445434355,0.19966722129783693,0.22795341098169716,0.028286189683860236,0.023230975834384687,outputs/reve_statistical_audit_s42
42,fcz,2,both_fists,0.46444444444444444,0.5488888888888889,-0.08444444444444443,0.21963394342762063,0.29395452024403773,0.0743205768164171,0.058081754348449255,outputs/reve_statistical_audit_s42
42,fcz,3,both_feet,0.6335540838852097,0.6026490066225165,0.030905077262693204,0.29728230726566834,0.2773155851358846,-0.01996672212978373,-0.00479088769863617,outputs/reve_statistical_audit_s42
42,random_linear,0,left_fist,0.6851441241685144,0.7028824833702882,-0.0177383592017738,0.2834165280088741,0.3072656683305602,0.023849140321686058,0.016154154948363753,outputs/reve_statistical_audit_s42
42,random_linear,1,right_fist,0.5701559020044543,0.5857461024498887,-0.015590200445434355,0.19966722129783693,0.20743205768164172,0.007764836383804791,0.007401457716554705,outputs/reve_statistical_audit_s42
42,random_linear,2,both_fists,0.46444444444444444,0.44,0.024444444444444435,0.21963394342762063,0.20632279534109818,-0.01331114808652245,-0.008019623057709396,outputs/reve_statistical_audit_s42
42,random_linear,3,both_feet,0.6335540838852097,0.6114790286975718,0.02207505518763797,0.29728230726566834,0.2789794786466999,-0.018302828618968425,-0.015535990430950108,outputs/reve_statistical_audit_s42
