method,test_view,balanced_accuracy_mean,balanced_accuracy_std,worst_class_recall_mean,both_fists_recall_mean
joint_multiview_ce,native16@car,0.44272577438301947,0.00447850857639817,0.33395559538032654,0.33410138248847926
joint_multiview_ce,native16@cz,0.43507595261494253,0.006166096641829133,0.2980030721966206,0.2980030721966206
joint_multiview_ce,native16@fz,0.4423819421187578,0.024094063739230693,0.3308905103259942,0.34485407066052226
joint_multiview_ce,native16@pz,0.446213466116611,0.010729964320321443,0.3225806451612903,0.3225806451612903
joint_multiview_ce,native32@car,0.48460947853914044,0.021571306533228824,0.37896928867650764,0.4039938556067588
joint_multiview_ce,native32@cz,0.47178489268375245,0.01750224743330509,0.3816670933606418,0.3840245775729647
joint_multiview_ce,native32@fz,0.47946948145619084,0.023578368578828245,0.3313449197007269,0.3579109062980031
joint_multiview_ce,native32@pz,0.48326354506502067,0.01890655227913897,0.3981776126974667,0.41321044546851
joint_multiview_ce,pz,0.5429317228525821,0.0032271892886921306,0.4320161201633302,0.4577572964669739
spectral_capacity_control,car,0.5479909519798004,0.006511041142248186,0.41821600720377144,0.4301075268817205
spectral_capacity_control,cz,0.5117244876788482,0.010322637386979737,0.28417818740399386,0.28417818740399386
spectral_capacity_control,fz,0.5445467060855058,0.014031027671188013,0.40670939491851615,0.4285714285714286
spectral_capacity_control,native16@car,0.44621331688528926,0.0035061011479268567,0.35221674876847286,0.37019969278033793
spectral_capacity_control,native16@cz,0.430142920105449,0.0069450875196979235,0.23502304147465436,0.23502304147465436
spectral_capacity_control,native16@fz,0.4497427134921638,0.012809183102178623,0.32534915338029907,0.3563748079877112
spectral_capacity_control,native16@pz,0.4483543274590267,0.009421884864021813,0.3368398749933789,0.35714285714285715
spectral_capacity_control,native32@car,0.47947469653870184,0.021997115698740344,0.37369034376820803,0.38709677419354843
spectral_capacity_control,native32@cz,0.4528492149106101,0.018065909174631335,0.2542242703533026,0.2542242703533026
spectral_capacity_control,native32@fz,0.47320609584554546,0.01668448825455177,0.3253279658173985,0.33410138248847926
spectral_capacity_control,native32@pz,0.48103384199840277,0.013188669430388864,0.38367145152462173,0.3901689708141321
spectral_capacity_control,pz,0.5341394174464086,0.006011745624557391,0.3990306689972986,0.43010752688172044
